Time,Manual_Count,NETCOMM LIMITED,UNKNOWN,"Murata Manufactuaring Co.,Ltd.",Intel Corporate,SEIKO EPSON CORPORATION,Apple,Netgear Inc,"CISCO SYSTEMS, INC.","TP-LINK TECHNOLOGIES CO.,LTD.",Netgear Inc.,ASUSTek COMPUTER INC.,Hewlett-Packard Company,Billion Electric Co. Ltd.,"GIGA-BYTE TECHNOLOGY CO.,LTD.",D-Link International,"Apple, Inc",Routerboard.com,Lexmark International Inc.,DrayTek Corp.,IBM Corp,Ubiquiti Networks,Belkin International Inc.,"Samsung Electro Mechanics co.,LTD.","Hon Hai Precision Ind. Co.,Ltd.","Ubiquiti Networks, INC","COMPAL INFORMATION (KUNSHAN) CO., LTD.",Liteon Tech Corp.,"NETGEAR INC.,",Sony Mobile Communications AB,Apple Inc,Hewlett Packard,Dell Inc,NETGEAR,Microsoft Corporation,ASRock Incorporation
222,12,0,3,0,0,0,3,0,2,0,0,2,2,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,,,,,,
230,12,0,2,0,0,0,3,0,2,0,0,2,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,
238,12,0,3,0,0,0,2,0,2,0,0,2,1,0,2,0,0,1,0,0,1,1,0,0,0,0,1,0,,,,,,,,
246,12,0,3,0,0,0,2,0,2,0,0,2,1,0,3,0,0,1,0,0,1,1,0,0,0,0,1,0,,,,,,,,
254,12,0,3,0,0,0,3,0,2,0,0,1,1,0,2,0,0,1,0,0,1,1,0,0,0,0,1,0,,,,,,,,
263,12,0,3,0,0,0,3,0,2,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,,,,,,,,,
272,12,0,3,0,0,0,4,0,2,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,,,,,,,,,
280,12,0,3,0,0,0,4,0,2,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,,,,,,,,,
290,12,0,3,0,0,0,4,0,2,0,0,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,
299,12,0,3,0,0,0,3,0,2,0,0,1,1,0,2,0,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,
309,12,0,3,0,0,0,3,0,2,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,
319,12,0,3,0,0,0,4,0,2,0,0,1,1,0,2,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,
328,12,0,2,0,0,0,3,0,1,0,0,1,1,0,2,0,0,1,0,0,1,1,0,,,,,,,,,,,,,
339,12,0,3,0,0,0,3,0,1,0,0,1,2,0,2,0,0,1,0,0,1,,,,,,,,,,,,,,,
349,12,0,3,0,0,0,3,0,2,0,0,1,2,0,2,0,0,1,0,,,,,,,,,,,,,,,,,
360,12,0,3,0,0,0,3,0,2,0,0,2,2,0,1,0,0,,,,,,,,,,,,,,,,,,,
371,12,0,3,0,0,0,3,0,2,0,0,2,2,0,1,0,,,,,,,,,,,,,,,,,,,,
383,12,0,3,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
