Time,Manual_Count,NETCOMM LIMITED,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",UNKNOWN,ASUSTek COMPUTER INC.,Hewlett Packard,Apple,Intel Corporate,Billion Electric Co. Ltd.,"NETGEAR INC.,","CISCO SYSTEMS, INC.","TP-LINK TECHNOLOGIES CO.,LTD.","Apple, Inc",Routerboard.com,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Netgear Inc,Netgear Inc.,"NEC Platforms, Ltd","Cisco-Linksys, LLC",NETGEAR,D-Link International,DrayTek Corp.,Ubiquiti Networks,Sony Mobile Communications AB,IBM Corp,ASRock Incorporation,Microsoft Corporation,Liteon Technology Corporation,"Apple, Inc.",Liteon Tech Corp.,"Ubiquiti Networks, Inc.",Hewlett-Packard Company,Dell Inc,"Samsung Electro Mechanics co., LTD.","Hon Hai Precision Ind. Co.,Ltd.",SEIKO EPSON CORPORATION,Belkin International Inc.,ICP Electronics Inc.,"Samsung Electro Mechanics co.,LTD.",HTC Corporation,Apple Inc
332,21,1,0,4,2,3,9,3,1,0,2,1,0,2,3,2,1,1,0,1,1,1,1,1,1,0,1,1,0,0,,,,,,,,,,,
336,21,1,0,4,2,3,10,3,2,0,2,1,0,2,3,2,1,1,0,1,1,1,1,1,1,0,1,1,0,0,,,,,,,,,,,
340,21,1,1,3,1,3,10,3,2,1,2,1,0,2,3,2,1,1,0,1,1,0,1,1,0,0,1,1,0,,,,,,,,,,,,
344,21,1,1,3,1,3,10,3,2,1,2,1,0,2,3,2,1,1,0,1,1,0,1,1,0,0,1,1,0,,,,,,,,,,,,
348,21,1,1,3,1,3,10,3,2,1,2,1,0,2,5,2,1,0,0,1,1,0,1,0,0,0,1,0,,,,,,,,,,,,,
352,21,1,1,3,1,2,10,3,2,1,2,1,0,2,5,2,1,0,0,1,1,0,1,0,1,0,1,0,,,,,,,,,,,,,
357,21,1,1,3,0,2,8,2,2,1,2,1,0,2,5,2,1,0,0,1,1,0,1,0,1,0,1,,,,,,,,,,,,,,
361,21,1,2,3,0,2,8,2,2,1,2,1,0,2,5,2,1,0,0,1,1,0,1,0,1,0,1,,,,,,,,,,,,,,
365,21,1,2,3,0,2,8,2,2,1,2,1,0,2,5,2,1,0,0,1,1,0,1,0,1,0,1,,,,,,,,,,,,,,
369,21,1,2,2,0,1,7,2,2,1,1,1,0,2,5,2,1,0,0,1,1,0,1,0,1,0,1,,,,,,,,,,,,,,
373,21,1,2,2,0,1,5,2,2,1,2,1,0,1,6,2,1,0,0,1,1,0,1,0,1,,,,,,,,,,,,,,,,
378,21,1,2,2,0,2,4,2,2,1,2,1,0,1,6,2,1,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,
383,21,1,2,3,1,1,4,3,1,1,2,1,0,1,6,2,1,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,
387,21,1,1,3,2,1,4,3,1,1,2,1,0,0,5,2,1,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,
391,21,1,1,3,2,2,7,3,1,1,2,1,0,0,5,2,1,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,
395,21,1,1,3,2,2,7,3,1,1,2,1,0,0,3,2,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,
399,19,1,1,3,2,2,9,4,1,1,2,1,0,0,4,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,
403,19,1,1,2,2,2,9,4,1,1,2,1,0,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
407,19,1,0,2,2,3,9,4,1,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
