Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Netgear Inc.,Time,Hewlett-Packard Company,Time,IBM Corp,Time,Intel Corporate,Time,"Apple, Inc",Time,DrayTek Corp.,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Liteon Tech Corp.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"NETGEAR INC.,",Time,Enerpoint Ltd.,Time,Hewlett Packard,Time,"Murata Manufactuaring Co.,Ltd.",Time,D-LINK INTERNATIONAL PTE LIMITED,Time,"Samsung Electronics Co.,Ltd",Time,PEGATRON CORPORATION,Time,Routerboard.com,Time,SEIKO EPSON CORPORATION,Time,"Apple, Inc.",Time,HTC Corporation,Time,WISOL,Time,Lexmark International Inc.,Time,ICP Electronics Inc.,Time,"Samsung Electro Mechanics co.,LTD.",Time,Liteon Technology Corporation,Time,Nokia Corporation
53,9,53,2,53,1,53,1,53,5,53,1,53,2,53,3,53,1,53,4,53,2,53,1,57,1,57,2,57,1,57,2,57,2,62,1,62,1,62,1,66,1,74,1,78,1,91,1,104,1,116,1,116,1,196,1,196,1,281,1,285,1,293,1,327,1,436,1,500,1,562,1,574,1,583,1
57,9,57,2,57,1,57,1,57,5,57,1,57,2,57,3,57,1,57,4,57,2,57,1,62,1,62,2,62,1,62,2,62,2,66,1,66,1,66,1,70,1,78,1,83,1,95,1,108,1,121,1,121,1,201,1,201,1,285,1,289,1,298,1,332,1,441,1,504,1,566,1,579,1,588,1
62,9,62,2,62,1,62,1,62,5,62,1,62,2,62,3,62,1,62,4,62,2,62,1,66,1,66,2,66,1,66,2,66,2,70,1,70,1,70,1,74,1,83,1,87,1,99,1,112,1,125,1,125,1,205,1,205,2,289,1,293,1,301,1,335,1,445,1,508,1,570,1,583,1,592,1
66,9,66,2,66,1,66,1,66,5,66,1,66,2,66,3,66,1,66,5,66,2,66,1,70,1,70,2,70,1,70,2,70,2,74,1,74,1,74,1,78,1,87,1,91,1,104,1,116,1,129,1,129,1,209,1,209,2,293,1,298,1,306,1,340,1,449,1,511,1,574,1,588,1,596,1
70,9,70,2,70,1,70,1,70,5,70,1,70,2,70,3,70,1,70,5,70,2,70,1,74,1,74,2,74,1,74,2,74,2,78,1,78,1,78,1,83,1,91,1,95,1,108,1,121,1,133,1,133,1,213,1,213,2,298,1,301,1,310,1,344,1,454,1,515,1,579,1,592,1,600,1
74,9,74,2,74,1,74,1,74,5,74,1,74,2,74,3,74,1,74,5,74,2,74,1,78,1,78,3,78,1,78,2,78,2,83,1,83,2,83,1,87,1,95,1,99,1,112,1,125,1,137,1,137,1,218,1,218,2,301,1,306,1,314,1,348,1,457,1,520,1,583,1,596,1,604,1
78,9,78,2,78,1,78,1,78,5,78,1,78,2,78,4,78,1,78,5,78,2,78,1,83,1,83,3,83,1,83,2,83,2,87,1,87,2,87,1,91,1,99,1,104,1,116,1,129,1,141,1,141,1,222,1,222,2,306,1,310,1,319,1,352,1,462,1,524,1,588,1,600,1,608,1
83,9,83,2,83,1,83,1,83,6,83,1,83,2,83,4,83,1,83,5,83,2,83,1,87,1,87,3,87,1,87,2,87,2,91,1,91,2,91,1,95,1,104,1,108,1,121,1,133,1,146,1,146,1,226,1,226,2,310,1,314,1,323,1,357,1,466,1,528,1,592,1,604,1,612,1
87,9,87,2,87,1,87,1,87,6,87,1,87,2,87,4,87,1,87,5,87,2,87,1,91,1,91,3,91,1,91,2,91,2,95,1,95,2,95,1,99,1,108,1,112,1,125,1,137,1,150,1,150,1,230,1,230,2,314,1,319,1,327,1,360,1,470,1,532,1,596,1,608,1,617,1
91,9,91,2,91,1,91,1,91,6,91,1,91,2,91,4,91,1,91,5,91,2,91,1,95,1,95,3,95,1,95,2,95,2,99,1,99,2,99,1,104,2,112,1,116,1,129,3,141,1,155,1,155,1,234,1,234,2,319,1,323,1,332,1,365,1,474,1,537,1,600,1,612,1,621,1
95,9,95,2,95,1,95,1,95,6,95,1,95,2,95,4,95,1,95,5,95,2,95,1,99,1,99,3,99,1,99,2,99,2,104,1,104,2,104,1,108,2,116,1,121,1,133,3,146,1,159,1,159,1,238,1,238,2,323,1,327,1,335,1,369,1,479,1,541,1,604,1,617,1,625,1
99,9,99,2,99,1,99,1,99,7,99,1,99,2,99,4,99,1,99,5,99,2,99,1,104,1,104,3,104,1,104,2,104,2,108,1,108,2,108,1,112,2,121,1,125,1,137,3,150,1,163,1,163,1,243,1,243,2,327,1,332,1,340,1,373,1,483,1,546,1,608,1,621,1,629,1
104,9,104,2,104,1,104,1,104,8,104,1,104,2,104,4,104,1,104,5,104,2,104,1,108,1,108,3,108,1,108,2,108,2,112,1,112,2,112,1,116,2,125,1,129,1,141,3,155,1,167,1,167,1,247,1,247,2,332,1,335,1,344,1,377,1,487,1,550,1,612,1,625,1,633,1
108,9,108,2,108,1,108,1,108,9,108,1,108,2,108,4,108,1,108,5,108,2,108,1,112,1,112,3,112,1,112,2,112,2,116,1,116,2,116,1,121,2,129,1,133,1,146,3,159,1,171,1,171,1,251,1,251,2,335,1,340,1,348,1,382,1,491,1,554,1,617,1,629,1,638,1
112,9,112,2,112,1,112,1,112,10,112,1,112,2,112,4,112,1,112,5,112,2,112,1,116,1,116,3,116,1,116,2,116,2,121,1,121,2,121,1,125,2,133,1,137,1,150,3,163,1,176,1,176,1,255,1,255,2,340,1,344,1,352,1,386,1,496,1,558,1,621,1,633,1,642,1
116,9,116,2,116,1,116,1,116,10,116,1,116,2,116,4,116,1,116,5,116,2,116,1,121,1,121,3,121,1,121,2,121,2,125,1,125,2,125,1,129,2,137,1,141,1,155,3,167,1,179,1,179,1,259,1,259,2,344,1,348,1,357,1,390,1,500,1,562,1,625,1,638,1,646,1
121,9,121,2,121,1,121,1,121,10,121,1,121,2,121,4,121,1,121,5,121,2,121,1,125,1,125,3,125,1,125,2,125,2,129,1,129,2,129,1,133,2,141,1,146,1,159,3,171,0,184,1,184,1,264,1,264,2,348,1,352,1,360,1,394,1,504,1,566,1,629,1,642,1,650,1
125,9,125,2,125,1,125,1,125,10,125,1,125,2,125,4,125,1,125,6,125,2,125,1,129,1,129,3,129,1,129,2,129,2,133,1,133,2,133,0,137,2,146,1,150,0,163,3,176,0,188,1,188,1,268,0,268,1,352,1,357,0,365,0,398,1,508,0,570,0,633,0,646,0,654,1
129,9,129,2,129,1,129,1,129,11,129,1,129,2,129,4,129,1,129,6,129,2,129,1,133,1,133,3,133,1,133,2,133,2,137,1,137,2,137,0,141,2,150,1,155,0,167,3,179,0,192,1,192,1,272,0,272,1,357,1,360,0,369,0,403,1,511,0,574,0,638,0,650,0,659,1
133,9,133,2,133,1,133,1,133,10,133,1,133,2,133,5,133,1,133,6,133,2,133,1,137,1,137,3,137,1,137,1,137,2,141,1,141,2,141,0,146,2,155,1,159,0,171,3,184,0,196,1,196,1,276,0,276,1,360,1,365,0,373,0,407,1,515,0,579,0,642,0,654,0,663,1
137,9,137,2,137,1,137,1,137,10,137,1,137,2,137,5,137,1,137,6,137,2,137,1,141,1,141,3,141,1,141,1,141,2,146,1,146,2,146,0,150,2,159,1,163,0,176,3,188,0,201,1,201,1,281,0,281,2,365,1,369,0,377,0,412,1,520,0,583,0,646,0,659,0,668,1
141,9,141,2,141,1,141,1,141,11,141,1,141,2,141,5,141,1,141,7,141,2,141,1,146,1,146,3,146,1,146,1,146,2,150,1,150,1,150,0,155,2,163,1,167,0,179,3,192,0,205,1,205,1,285,0,285,2,369,1,373,0,382,0,415,1,524,0,588,0,650,0,663,0,672,1
146,9,146,3,146,1,146,1,146,12,146,1,146,2,146,5,146,1,146,7,146,2,146,1,150,1,150,3,150,1,150,1,150,2,155,1,155,2,155,0,159,2,167,1,171,0,184,3,196,0,209,1,209,1,289,0,289,2,373,1,377,0,386,0,419,1,528,0,592,0,654,0,668,0,676,1
150,9,150,3,150,1,150,1,150,12,150,1,150,2,150,5,150,1,150,7,150,2,150,1,155,1,155,3,155,1,155,1,155,2,159,1,159,2,159,0,163,2,171,1,176,0,188,3,201,0,213,1,213,1,293,0,293,2,377,1,382,0,390,0,424,1,532,0,596,0,659,0,672,0,680,1
155,9,155,3,155,1,155,1,155,12,155,1,155,2,155,5,155,1,155,7,155,2,155,1,159,1,159,2,159,1,159,1,159,2,163,1,163,2,163,0,167,2,176,1,179,0,192,2,205,0,218,1,218,1,298,0,298,2,382,1,386,0,394,0,428,1,537,0,600,0,663,0,676,0,684,1
159,9,159,3,159,1,159,1,159,12,159,1,159,2,159,5,159,1,159,8,159,2,159,1,163,1,163,2,163,1,163,2,163,2,167,1,167,2,167,0,171,2,179,1,184,0,196,2,209,0,222,1,222,1,301,0,301,2,386,1,390,0,398,0,432,1,541,0,604,0,668,0,680,0,688,1
163,9,163,3,163,1,163,1,163,12,163,1,163,2,163,5,163,1,163,8,163,2,163,1,167,1,167,2,167,1,167,2,167,2,171,1,171,2,171,0,176,2,184,1,188,0,201,3,213,0,226,1,226,1,306,0,306,2,390,1,394,0,403,0,436,1,546,0,608,0,672,0,684,0,692,1
167,9,167,3,167,1,167,1,167,12,167,1,167,2,167,5,167,1,167,7,167,2,167,1,171,1,171,2,171,1,171,2,171,1,176,1,176,2,176,0,179,2,188,1,192,0,205,3,218,0,230,1,230,1,310,0,310,2,394,1,398,0,407,0,441,1,550,0,612,0,676,0,688,0,697,1
171,9,171,3,171,1,171,1,171,13,171,1,171,2,171,5,171,1,171,7,171,2,171,1,176,1,176,2,176,1,176,2,176,1,179,1,179,2,179,0,184,2,192,1,196,0,209,3,222,0,234,1,234,1,314,0,314,2,398,1,403,0,412,0,445,1,554,0,617,0,680,0,692,0,701,1
176,9,176,3,176,1,176,1,176,13,176,1,176,2,176,5,176,1,176,7,176,2,176,1,179,1,179,2,179,1,179,2,179,1,184,1,184,2,184,0,188,2,196,1,201,0,213,3,226,0,238,1,238,1,319,0,319,2,403,1,407,0,415,0,449,1,558,0,621,0,684,0,697,0,706,1
179,9,179,3,179,1,179,1,179,13,179,1,179,2,179,5,179,1,179,7,179,3,179,1,184,1,184,2,184,1,184,2,184,2,188,1,188,2,188,0,192,2,201,1,205,0,218,3,230,0,243,1,243,1,323,0,323,2,407,1,412,0,419,0,454,1,562,0,625,0,688,0,701,0,710,1
184,9,184,3,184,1,184,1,184,13,184,1,184,2,184,5,184,1,184,7,184,3,184,1,188,1,188,2,188,1,188,2,188,2,192,1,192,2,192,0,196,2,205,1,209,0,222,3,234,0,247,1,247,1,327,0,327,2,412,1,415,0,424,0,457,1,566,0,629,0,692,0,706,0,714,1
188,9,188,3,188,1,188,1,188,13,188,1,188,2,188,5,188,1,188,7,188,3,188,1,192,1,192,2,192,1,192,2,192,2,196,1,196,2,196,0,201,2,209,1,213,0,226,3,238,0,251,1,251,1,332,0,332,2,415,1,419,0,428,0,462,1,570,0,633,0,697,0,710,0,718,1
192,9,192,2,192,1,192,1,192,13,192,1,192,2,192,5,192,1,192,7,192,3,192,1,196,1,196,2,196,1,196,2,196,2,201,1,201,2,201,0,205,2,213,1,218,0,230,3,243,0,255,1,255,1,335,0,335,2,419,1,424,0,432,0,466,1,574,0,638,0,701,0,714,0,722,1
196,9,196,2,196,1,196,1,196,13,196,1,196,2,196,5,196,1,196,9,196,3,196,1,201,1,201,2,201,1,201,2,201,2,205,1,205,2,205,0,209,2,218,1,222,0,234,3,247,0,259,1,259,1,340,0,340,2,424,1,428,0,436,0,470,1,579,0,642,0,706,0,718,0,727,1
201,9,201,2,201,1,201,1,201,13,201,1,201,2,201,5,201,1,201,9,201,3,201,1,205,1,205,2,205,1,205,2,205,2,209,1,209,2,209,0,213,2,222,1,226,0,238,3,251,0,264,1,264,1,344,0,344,2,428,1,432,0,441,0,474,1,583,0,646,0,710,1,722,0,,
205,9,205,2,205,1,205,1,205,12,205,1,205,2,205,5,205,1,205,9,205,3,205,1,209,1,209,2,209,1,209,2,209,2,213,1,213,2,213,0,218,2,226,1,230,0,243,3,255,0,268,1,268,1,348,0,348,2,432,1,436,0,445,0,479,1,588,0,650,0,714,1,727,0,,
209,9,209,2,209,1,209,1,209,12,209,1,209,2,209,5,209,1,209,9,209,3,209,1,213,1,213,2,213,1,213,2,213,2,218,1,218,2,218,0,222,2,230,1,234,0,247,3,259,0,272,1,272,1,352,0,352,2,436,1,441,0,449,0,483,1,592,0,654,0,718,1,,,,
213,9,213,2,213,1,213,1,213,12,213,1,213,2,213,5,213,1,213,9,213,3,213,1,218,1,218,2,218,1,218,2,218,2,222,1,222,2,222,0,226,2,234,1,238,0,251,2,264,0,276,1,276,1,357,0,357,2,441,1,445,0,454,0,487,1,596,0,659,0,722,1,,,,
218,9,218,2,218,1,218,1,218,12,218,1,218,2,218,5,218,1,218,10,218,3,218,1,222,1,222,2,222,1,222,2,222,2,226,1,226,2,226,0,230,2,238,1,243,0,255,2,268,0,281,1,281,1,360,0,360,2,445,1,449,0,457,0,491,1,600,0,663,0,727,1,,,,
222,9,222,2,222,1,222,1,222,11,222,1,222,2,222,5,222,1,222,11,222,3,222,1,226,1,226,2,226,1,226,2,226,2,230,1,230,2,230,0,234,2,243,1,247,0,259,2,272,0,285,1,285,1,365,0,365,2,449,1,454,0,462,0,496,1,604,0,668,0,,,,,,
226,9,226,2,226,1,226,1,226,10,226,1,226,2,226,5,226,1,226,11,226,3,226,1,230,1,230,2,230,1,230,2,230,2,234,1,234,2,234,0,238,2,247,1,251,0,264,2,276,0,289,1,289,1,369,0,369,2,454,1,457,0,466,0,500,0,608,0,672,0,,,,,,
230,9,230,2,230,1,230,1,230,9,230,1,230,2,230,5,230,1,230,12,230,3,230,1,234,1,234,2,234,1,234,2,234,2,238,1,238,2,238,0,243,2,251,1,255,0,268,2,281,0,293,1,293,1,373,0,373,2,457,1,462,0,470,0,504,0,612,0,676,0,,,,,,
234,9,234,2,234,1,234,1,234,8,234,1,234,2,234,5,234,1,234,12,234,3,234,1,238,1,238,2,238,1,238,2,238,2,243,1,243,2,243,0,247,2,255,1,259,0,272,2,285,0,298,1,298,1,377,0,377,2,462,1,466,0,474,0,508,0,617,0,680,0,,,,,,
238,9,238,2,238,1,238,1,238,8,238,1,238,2,238,5,238,1,238,12,238,3,238,1,243,1,243,2,243,1,243,2,243,2,247,1,247,2,247,0,251,2,259,1,264,0,276,2,289,0,301,1,301,1,382,0,382,2,466,1,470,0,479,0,511,0,621,0,684,0,,,,,,
243,9,243,2,243,1,243,1,243,8,243,1,243,2,243,5,243,1,243,12,243,3,243,1,247,1,247,2,247,1,247,2,247,2,251,1,251,2,251,1,255,1,264,1,268,0,281,2,293,0,306,0,306,1,386,0,386,2,470,0,474,0,483,0,515,0,625,0,688,0,,,,,,
247,9,247,2,247,1,247,1,247,8,247,1,247,2,247,5,247,1,247,12,247,3,247,1,251,1,251,2,251,1,251,2,251,2,255,1,255,2,255,1,259,1,268,1,272,0,285,2,298,0,310,0,310,1,390,0,390,2,474,1,479,0,487,0,520,0,629,0,692,0,,,,,,
251,8,251,2,251,1,251,1,251,8,251,1,251,2,251,5,251,1,251,11,251,3,251,1,255,1,255,2,255,1,255,2,255,2,259,1,259,2,259,1,264,2,272,1,276,0,289,2,301,0,314,0,314,1,394,0,394,1,479,1,483,0,491,0,524,0,633,0,697,0,,,,,,
255,8,255,2,255,1,255,1,255,8,255,1,255,2,255,5,255,1,255,11,255,3,255,1,259,1,259,2,259,1,259,2,259,2,264,1,264,2,264,1,268,2,276,1,281,0,293,1,306,0,319,0,319,1,398,0,398,1,483,1,487,0,496,0,528,0,638,0,701,0,,,,,,
259,8,259,2,259,1,259,1,259,8,259,1,259,2,259,5,259,1,259,10,259,3,259,1,264,1,264,2,264,1,264,2,264,3,268,1,268,2,268,1,272,2,281,1,285,0,298,2,310,0,323,0,323,1,403,0,403,1,487,1,491,0,500,0,532,0,642,0,706,0,,,,,,
264,8,264,2,264,1,264,1,264,7,264,1,264,2,264,5,264,1,264,11,264,3,264,1,268,1,268,2,268,1,268,2,268,3,272,1,272,2,272,1,276,2,285,1,289,0,301,2,314,0,327,0,327,1,407,0,407,1,491,1,496,0,504,0,537,0,646,0,710,0,,,,,,
268,8,268,2,268,1,268,1,268,7,268,1,268,2,268,5,268,1,268,11,268,3,268,1,272,1,272,2,272,1,272,2,272,3,276,1,276,1,276,1,281,2,289,1,293,0,306,2,319,0,332,0,332,1,412,0,412,1,496,1,500,0,508,0,541,0,650,0,714,0,,,,,,
272,8,272,2,272,1,272,1,272,7,272,1,272,2,272,5,272,1,272,11,272,3,272,1,276,1,276,2,276,1,276,2,276,3,281,1,281,1,281,1,285,2,293,1,298,0,310,2,323,0,335,0,335,1,415,0,415,1,500,1,504,0,511,0,546,0,654,0,718,0,,,,,,
276,10,276,2,276,1,276,1,276,6,276,1,276,2,276,5,276,1,276,12,276,3,276,1,281,1,281,2,281,1,281,2,281,3,285,1,285,1,285,1,289,2,298,1,301,0,314,2,327,0,340,0,340,1,419,0,419,1,504,1,508,0,515,0,550,0,659,0,722,0,,,,,,
281,10,281,2,281,1,281,1,281,6,281,1,281,2,281,5,281,1,281,11,281,3,281,1,285,1,285,2,285,1,285,1,285,3,289,1,289,1,289,1,293,3,301,1,306,0,319,2,332,0,344,0,344,1,424,0,424,1,508,1,511,0,520,0,554,0,663,0,727,0,,,,,,
285,10,285,2,285,1,285,1,285,6,285,1,285,2,285,5,285,1,285,11,285,3,285,1,289,1,289,1,289,1,289,1,289,3,293,1,293,1,293,1,298,3,306,1,310,0,323,2,335,0,348,0,348,1,428,0,428,1,511,1,515,0,524,0,558,0,668,0,,,,,,,,
289,10,289,2,289,1,289,1,289,6,289,1,289,2,289,5,289,1,289,11,289,3,289,1,293,1,293,1,293,1,293,1,293,3,298,1,298,1,298,1,301,3,310,1,314,0,327,2,340,0,352,0,352,1,432,0,432,1,515,1,520,0,528,0,562,0,672,0,,,,,,,,
293,10,293,2,293,1,293,1,293,5,293,1,293,2,293,5,293,1,293,12,293,3,293,1,298,1,298,1,298,1,298,1,298,3,301,1,301,1,301,1,306,3,314,1,319,0,332,3,344,0,357,0,357,1,436,0,436,1,520,1,524,0,532,0,566,0,676,0,,,,,,,,
298,10,298,2,298,1,298,1,298,5,298,1,298,2,298,5,298,1,298,12,298,3,298,2,301,1,301,1,301,1,301,1,301,3,306,1,306,1,306,1,310,3,319,1,323,0,335,3,348,0,360,0,360,1,441,0,441,1,524,1,528,0,537,0,570,0,680,0,,,,,,,,
301,10,301,2,301,1,301,1,301,5,301,1,301,2,301,5,301,1,301,13,301,2,301,2,306,1,306,1,306,1,306,1,306,2,310,1,310,1,310,1,314,3,323,1,327,0,340,3,352,0,365,0,365,1,445,1,445,1,528,1,532,0,541,0,574,0,684,0,,,,,,,,
306,10,306,2,306,1,306,1,306,5,306,1,306,2,306,5,306,1,306,13,306,2,306,2,310,1,310,1,310,1,310,1,310,2,314,1,314,0,314,1,319,3,327,1,332,0,344,3,357,0,369,0,369,1,449,1,449,1,532,1,537,0,546,0,579,0,688,0,,,,,,,,
310,10,310,2,310,1,310,1,310,5,310,1,310,2,310,5,310,1,310,13,310,2,310,2,314,1,314,1,314,1,314,1,314,2,319,1,319,0,319,1,323,3,332,1,335,1,348,3,360,0,373,0,373,1,454,1,454,1,537,1,541,0,550,0,583,0,692,0,,,,,,,,
314,10,314,2,314,1,314,1,314,6,314,1,314,2,314,5,314,1,314,12,314,2,314,2,319,1,319,1,319,1,319,1,319,3,323,1,323,0,323,1,327,3,335,1,340,1,352,3,365,0,377,0,377,1,457,1,457,1,541,1,546,0,554,0,588,0,697,0,,,,,,,,
319,10,319,2,319,1,319,1,319,8,319,1,319,2,319,5,319,1,319,12,319,2,319,2,323,1,323,1,323,1,323,1,323,3,327,1,327,0,327,1,332,3,340,1,344,1,357,3,369,0,382,0,382,1,462,1,462,1,546,1,550,0,558,0,592,0,701,0,,,,,,,,
323,10,323,1,323,1,323,1,323,9,323,1,323,2,323,5,323,1,323,13,323,2,323,2,327,1,327,1,327,1,327,1,327,3,332,1,332,0,332,1,335,3,344,1,348,1,360,3,373,0,386,0,386,1,466,1,466,1,550,1,554,0,562,0,596,0,706,0,,,,,,,,
327,10,327,1,327,1,327,1,327,9,327,1,327,2,327,5,327,1,327,13,327,2,327,2,332,1,332,1,332,1,332,1,332,3,335,1,335,0,335,1,340,3,348,1,352,1,365,3,377,0,390,0,390,1,470,1,470,1,554,1,558,0,566,0,600,0,710,0,,,,,,,,
332,10,332,1,332,1,332,1,332,9,332,1,332,2,332,5,332,1,332,13,332,2,332,2,335,1,335,1,335,1,335,1,335,3,340,1,340,0,340,1,344,5,352,1,357,1,369,3,382,0,394,0,394,1,474,1,474,1,558,1,562,0,570,0,604,0,714,0,,,,,,,,
335,10,335,1,335,1,335,1,335,9,335,1,335,2,335,5,335,1,335,13,335,2,335,2,340,1,340,1,340,1,340,1,340,3,344,1,344,0,344,1,348,5,357,1,360,1,373,3,386,0,398,0,398,1,479,1,479,1,562,1,566,0,574,0,608,0,718,0,,,,,,,,
340,10,340,1,340,1,340,1,340,9,340,1,340,2,340,5,340,1,340,14,340,2,340,2,344,1,344,2,344,1,344,1,344,3,348,1,348,0,348,1,352,5,360,1,365,1,377,3,390,0,403,0,403,1,483,1,483,1,566,1,570,0,579,0,612,0,722,0,,,,,,,,
344,10,344,1,344,1,344,1,344,10,344,1,344,2,344,5,344,1,344,12,344,2,344,2,348,1,348,2,348,1,348,1,348,2,352,1,352,0,352,1,357,5,365,1,369,1,382,3,394,0,407,0,407,1,487,1,487,1,570,1,574,0,583,0,617,0,727,0,,,,,,,,
348,10,348,1,348,1,348,1,348,10,348,1,348,2,348,5,348,1,348,12,348,2,348,2,352,1,352,2,352,1,352,1,352,2,357,1,357,0,357,1,360,5,369,1,373,1,386,3,398,0,412,0,412,1,491,1,491,1,574,1,579,0,588,0,621,0,,,,,,,,,,
352,10,352,1,352,1,352,1,352,10,352,1,352,2,352,5,352,1,352,11,352,2,352,2,357,1,357,2,357,1,357,1,357,2,360,1,360,0,360,1,365,5,373,1,377,1,390,3,403,0,415,0,415,1,496,1,496,1,579,1,583,0,592,0,625,0,,,,,,,,,,
