Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Apple,Time,NETGEAR,Time,"Murata Manufacturing Co.,Ltd.",Time,Belkin International Inc.,Time,"Apple, Inc.",Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Netgear Inc.,Time,IBM Corp,Time,"NETGEAR INC.,",Time,DrayTek Corp.,Time,Billion Electric Co. Ltd.,Time,"Samsung Electro Mechanics co., LTD.",Time,Intel Corporate,Time,"Micro-Star Int'l Co, Ltd",Time,Hewlett Packard,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,Wistron Corporation,Time,KYOCERA Document Solutions Inc.,Time,Hon Hai Precision Ind.Co.Ltd,Time,"Apple, Inc",Time,IBM,Time,SEIKO EPSON CORPORATION,Time,Hewlett-Packard Company,Time,LG Electronics,Time,Ubiquiti Networks,Time,Liteon Tech Corp.,Time,Lexmark International Inc.,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,"Samsung Electro Mechanics co.,LTD."
301,17,92,1,92,1,92,2,92,6,92,2,92,0,92,1,92,0,92,1,92,1,101,1,101,0,101,2,110,0,110,1,120,0,129,1,185,2,204,1,204,0,232,0,251,0,251,0,288,0,297,0,316,0,316,0,401,1,411,0,429,0,495,0,,,,
390,17,101,1,101,1,101,2,101,6,101,2,101,0,101,1,101,0,101,1,101,1,110,1,110,0,110,2,120,0,120,1,129,0,139,1,194,2,213,1,213,0,241,0,260,0,260,0,297,0,306,0,326,0,326,0,411,1,420,0,439,0,504,0,,,,
444,19,110,1,110,1,110,2,110,6,110,2,110,0,110,1,110,0,110,1,110,1,120,1,120,0,120,2,129,0,129,1,139,0,148,0,204,2,223,0,223,0,251,1,269,0,269,0,306,0,316,0,335,0,335,0,420,1,429,0,448,0,514,0,,,,
539,19,120,1,120,1,120,2,120,5,120,2,120,0,120,1,120,0,120,1,120,1,129,1,129,0,129,2,139,0,139,1,148,0,157,0,213,2,232,0,232,0,260,1,279,0,279,0,316,0,326,0,344,0,344,0,429,1,439,0,458,0,523,0,,,,
,,129,1,129,1,129,2,129,4,129,2,129,0,129,1,129,0,129,1,129,1,139,1,139,0,139,2,148,0,148,1,157,0,167,0,223,0,241,0,241,0,269,1,288,0,288,0,326,0,335,1,354,0,354,0,439,1,448,0,467,0,532,0,,,,
,,139,1,139,1,139,2,139,6,139,3,139,1,139,1,139,0,139,1,139,1,148,1,148,0,148,2,157,0,157,1,167,0,176,0,232,1,251,0,251,0,279,1,297,0,297,0,335,0,344,1,363,0,363,0,448,1,458,0,476,0,541,0,,,,
,,148,1,148,1,148,2,148,6,148,3,148,1,148,1,148,0,148,1,148,1,157,1,157,0,157,2,167,0,167,1,176,0,185,1,241,1,260,0,260,0,288,1,306,0,306,0,344,0,354,1,373,0,373,0,458,1,467,0,486,0,,,,,,
,,157,1,157,1,157,2,157,6,157,3,157,1,157,1,157,0,157,1,157,1,167,1,167,0,167,2,176,0,176,1,185,0,194,1,251,1,269,0,269,0,297,1,316,0,316,0,354,0,363,1,383,0,383,0,467,1,476,0,495,0,,,,,,
,,167,1,167,1,167,2,167,6,167,4,167,1,167,2,167,0,167,1,167,1,176,1,176,0,176,2,185,0,185,1,194,0,204,1,260,1,279,0,279,0,306,1,326,0,326,0,363,0,373,1,391,0,391,0,476,1,486,0,504,0,,,,,,
,,176,1,176,1,176,2,176,7,176,4,176,1,176,2,176,0,176,1,176,1,185,1,185,0,185,2,194,0,194,1,204,0,213,2,269,1,288,1,288,0,316,1,335,0,335,0,373,0,383,1,401,0,401,0,486,0,495,0,514,0,,,,,,
,,185,1,185,1,185,2,185,8,185,4,185,1,185,2,185,0,185,1,185,1,194,1,194,0,194,2,204,0,204,1,213,0,223,2,279,1,297,1,297,0,326,1,344,0,344,0,383,0,391,0,411,0,411,0,495,0,504,0,523,1,,,,,,
,,194,1,194,1,194,2,194,5,194,3,194,0,194,2,194,0,194,1,194,1,204,1,204,0,204,2,213,0,213,1,223,0,232,2,288,0,306,1,306,0,335,1,354,0,354,0,391,0,401,1,420,0,420,0,504,0,514,0,532,1,,,,,,
,,204,1,204,1,204,2,204,5,204,3,204,0,204,2,204,0,204,1,204,1,213,1,213,0,213,2,223,0,223,1,232,0,241,2,297,0,316,1,316,0,344,1,363,0,363,0,401,0,411,1,429,0,429,0,514,0,523,0,541,1,,,,,,
,,213,1,213,1,213,2,213,7,213,3,213,0,213,2,213,0,213,1,213,1,223,1,223,0,223,2,232,0,232,1,241,0,251,1,306,0,326,1,326,0,354,1,373,0,373,0,411,0,420,1,439,0,439,0,523,0,532,0,,,,,,,,
,,223,1,223,1,223,2,223,7,223,3,223,0,223,1,223,0,223,1,223,1,232,1,232,0,232,2,241,0,241,1,251,0,260,1,316,0,335,1,335,0,363,1,383,0,383,0,420,0,429,1,448,0,448,0,532,0,541,0,,,,,,,,
,,232,1,232,1,232,2,232,7,232,2,232,0,232,1,232,0,232,1,232,1,241,1,241,0,241,2,251,0,251,1,260,0,269,1,326,0,344,0,344,0,373,1,391,0,391,0,429,1,439,1,458,0,458,0,541,0,,,,,,,,,,
,,241,1,241,1,241,2,241,6,241,2,241,0,241,1,241,0,241,1,241,1,251,1,251,0,251,2,260,0,260,1,269,0,279,1,335,0,354,0,354,0,383,1,401,0,401,0,439,1,448,1,467,0,467,0,,,,,,,,,,,,
,,251,1,251,1,251,2,251,7,251,2,251,0,251,1,251,0,251,1,251,1,260,1,260,0,260,2,269,0,269,1,279,0,288,2,344,0,363,0,363,0,391,0,411,0,411,0,448,1,458,1,476,0,476,0,,,,,,,,,,,,
,,260,1,260,1,260,2,260,8,260,4,260,0,260,1,260,0,260,1,260,1,269,1,269,0,269,2,279,0,279,1,288,0,297,2,354,0,373,0,373,0,401,0,420,0,420,0,458,1,467,1,486,0,486,0,,,,,,,,,,,,
,,269,1,269,1,269,2,269,8,269,4,269,0,269,1,269,0,269,1,269,1,279,1,279,0,279,2,288,0,288,1,297,0,306,2,363,0,383,0,383,0,411,0,429,0,429,0,467,1,476,1,495,0,495,0,,,,,,,,,,,,
,,279,1,279,1,279,2,279,5,279,4,279,0,279,1,279,0,279,1,279,1,288,1,288,0,288,2,297,1,297,1,306,0,316,2,373,1,391,0,391,0,420,0,439,0,439,0,476,1,486,1,504,0,504,0,,,,,,,,,,,,
,,288,1,288,1,288,2,288,4,288,4,288,0,288,1,288,0,288,1,288,1,297,1,297,0,297,2,306,1,306,1,316,0,326,2,383,1,401,0,401,0,429,0,448,0,448,0,486,0,495,1,514,0,514,0,,,,,,,,,,,,
,,297,1,297,1,297,2,297,3,297,4,297,0,297,1,297,0,297,1,297,1,306,1,306,0,306,2,316,1,316,1,326,0,335,2,391,1,411,0,411,0,439,0,458,0,458,0,495,0,504,0,523,0,523,0,,,,,,,,,,,,
,,306,1,306,1,306,2,306,2,306,4,306,0,306,1,306,1,306,1,306,2,316,1,316,0,316,2,326,1,326,1,335,0,344,2,401,1,420,0,420,0,448,0,467,0,467,0,504,0,514,0,532,0,532,0,,,,,,,,,,,,
,,316,1,316,1,316,2,316,3,316,2,316,0,316,1,316,1,316,1,316,2,326,1,326,0,326,2,335,1,335,1,344,0,354,2,411,1,429,0,429,0,458,0,476,0,476,0,514,0,523,0,541,0,541,0,,,,,,,,,,,,
,,326,1,326,1,326,2,326,3,326,2,326,0,326,1,326,1,326,1,326,2,335,1,335,0,335,2,344,1,344,1,354,0,363,3,420,1,439,0,439,0,467,0,486,0,486,0,523,0,532,0,,,,,,,,,,,,,,,,
,,335,1,335,1,335,2,335,4,335,2,335,0,335,0,335,1,335,1,335,2,344,1,344,0,344,2,354,0,354,1,363,0,373,3,429,0,448,1,448,0,476,0,495,0,495,0,532,0,541,0,,,,,,,,,,,,,,,,
,,344,1,344,1,344,2,344,3,344,2,344,0,344,0,344,1,344,1,344,2,354,1,354,0,354,2,363,0,363,1,373,0,383,2,439,0,458,1,458,0,486,0,504,0,504,0,541,0,,,,,,,,,,,,,,,,,,
,,354,1,354,1,354,2,354,4,354,2,354,0,354,0,354,1,354,1,354,2,363,1,363,0,363,2,373,0,373,1,383,0,391,2,448,0,467,1,467,0,495,0,514,0,514,0,,,,,,,,,,,,,,,,,,,,
,,363,1,363,1,363,2,363,6,363,2,363,0,363,1,363,0,363,1,363,1,373,1,373,0,373,2,383,0,383,1,391,0,401,3,458,0,476,1,476,0,504,0,523,0,523,0,,,,,,,,,,,,,,,,,,,,
,,373,1,373,1,373,2,373,6,373,2,373,0,373,1,373,0,373,1,373,1,383,1,383,0,383,2,391,0,391,1,401,0,411,3,467,0,486,1,486,0,514,0,532,0,532,0,,,,,,,,,,,,,,,,,,,,
,,383,1,383,1,383,2,383,7,383,2,383,0,383,1,383,0,383,1,383,1,391,1,391,0,391,2,401,0,401,1,411,0,420,2,476,0,495,1,495,0,523,0,541,0,541,0,,,,,,,,,,,,,,,,,,,,
,,391,1,391,1,391,2,391,6,391,2,391,0,391,1,391,0,391,1,391,1,401,1,401,1,401,2,411,0,411,1,420,0,429,2,486,0,504,0,504,0,532,0,,,,,,,,,,,,,,,,,,,,,,,,
,,401,1,401,1,401,2,401,6,401,2,401,0,401,1,401,0,401,1,401,1,411,1,411,1,411,2,420,0,420,1,429,0,439,2,495,0,514,0,514,0,541,0,,,,,,,,,,,,,,,,,,,,,,,,
,,411,1,411,1,411,2,411,8,411,2,411,0,411,1,411,0,411,1,411,1,420,1,420,1,420,2,429,0,429,1,439,0,448,2,504,0,523,0,523,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,420,1,420,1,420,2,420,6,420,3,420,0,420,1,420,0,420,1,420,1,429,1,429,1,429,2,439,0,439,1,448,0,458,1,514,0,532,0,532,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,429,1,429,1,429,2,429,7,429,3,429,0,429,1,429,0,429,1,429,1,439,1,439,1,439,2,448,0,448,1,458,0,467,0,523,0,541,0,541,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,439,1,439,1,439,2,439,6,439,3,439,0,439,1,439,0,439,2,439,1,448,1,448,1,448,2,458,0,458,1,467,0,476,0,532,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,448,1,448,1,448,3,448,6,448,3,448,0,448,1,448,0,448,2,448,1,458,1,458,1,458,2,467,0,467,1,476,0,486,0,541,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,458,1,458,1,458,3,458,6,458,3,458,0,458,1,458,0,458,2,458,1,467,1,467,1,467,2,476,0,476,1,486,0,495,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,467,1,467,1,467,3,467,6,467,3,467,0,467,1,467,0,467,2,467,1,476,1,476,1,476,2,486,0,486,1,495,0,504,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,476,1,476,1,476,3,476,6,476,2,476,0,476,1,476,0,476,2,476,1,486,1,486,1,486,2,495,0,495,1,504,0,514,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,486,1,486,1,486,3,486,5,486,2,486,0,486,1,486,0,486,2,486,1,495,1,495,1,495,2,504,0,504,1,514,0,523,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,495,1,495,1,495,3,495,6,495,2,495,0,495,1,495,0,495,1,495,1,504,1,504,1,504,2,514,0,514,1,523,0,532,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,504,1,504,1,504,2,504,7,504,2,504,0,504,1,504,0,504,1,504,1,514,1,514,0,514,2,523,0,523,1,532,0,541,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,514,1,514,1,514,2,514,7,514,3,514,0,514,1,514,0,514,1,514,1,523,1,523,0,523,2,532,0,532,1,541,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,523,1,523,1,523,2,523,5,523,3,523,0,523,1,523,0,523,1,523,1,532,1,532,0,532,2,541,0,541,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,532,1,532,1,532,2,532,5,532,3,532,0,532,1,532,0,532,1,532,1,541,1,541,0,541,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,541,1,541,1,541,2,541,5,541,3,541,0,541,1,541,0,541,1,541,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
