Time,Manual_Count,Time,Netgear Inc.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Apple,Time,Belkin International Inc.,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,ASUSTek COMPUTER INC.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,IBM Corp,Time,"Samsung Electronics Co.,Ltd",Time,Intel Corporate,Time,DrayTek Corp.,Time,Hewlett-Packard Company,Time,Hewlett Packard,Time,"NETGEAR INC.,",Time,"Apple, Inc",Time,"Murata Manufacturing Co., Ltd.",Time,Nokia Corporation,Time,Ubiquiti Networks,Time,ICP Electronics Inc.,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,Routerboard.com,Time,SEIKO EPSON CORPORATION,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Enerpoint Ltd.,Time,Paragon Technologies Inc.,Time,Liteon Tech Corp.,Time,Lexmark International Inc.,Time,"Apple, Inc.",Time,"Murata Manufacturing Co.,Ltd.",Time,Apple Inc,Time,HTC Corporation,Time,"Huawei Technologies Co., Ltd",Time,"Samsung Electro Mechanics co., LTD.",Time,WISOL,Time,Sony Mobile Communications AB,Time,"Samsung Electro Mechanics co.,LTD.",Time,"Billion Electric Co., Ltd.",Time,Liteon Technology Corporation,Time,Pittasoft,Time,FUJI-XEROX CO. LTD.
39,7,39,1,39,1,39,4,39,1,39,2,39,1,39,4,39,1,39,2,39,1,44,2,44,3,44,1,44,1,44,1,57,1,57,2,57,1,61,1,61,2,69,1,82,1,86,1,99,1,103,1,107,1,167,0,180,1,206,1,213,1,230,1,316,1,472,1,485,1,587,1,596,1,600,1,668,1,896,1,904,1,1199,1,1331,1,1377,1,1534,1,1649,2
44,7,44,1,44,1,44,5,44,1,44,2,44,1,44,4,44,1,44,2,44,1,48,2,48,3,48,1,48,1,48,1,61,1,61,2,61,1,65,1,65,2,73,1,86,1,90,1,103,1,107,1,154,0,172,0,184,1,209,1,218,1,235,1,319,1,476,1,489,1,592,1,600,1,604,1,673,1,900,1,909,1,1204,1,1334,1,1381,1,1538,1,1653,2
48,7,48,1,48,1,48,5,48,1,48,2,48,1,48,4,48,1,48,2,48,1,52,2,52,3,52,1,52,1,52,1,65,1,65,2,65,1,69,1,69,2,78,1,90,1,94,1,107,1,154,0,159,0,176,0,188,1,213,1,222,1,239,1,324,1,481,1,493,1,596,1,604,1,609,1,676,1,904,1,912,1,1208,1,1339,1,1385,1,1542,1,1656,2
52,7,52,1,52,1,52,5,52,1,52,2,52,1,52,4,52,1,52,2,52,1,57,2,57,3,57,1,57,1,57,1,69,1,69,2,69,1,73,1,73,2,82,1,94,1,99,1,154,0,159,0,163,0,180,0,192,1,218,1,226,1,243,1,329,1,485,1,498,1,600,1,609,1,613,1,681,1,909,1,917,1,1212,1,1343,1,1390,1,1546,1,1660,2
57,7,57,1,57,1,57,5,57,1,57,2,57,1,57,4,57,1,57,2,57,1,61,2,61,3,61,1,61,1,61,1,73,1,73,2,73,1,78,1,78,2,86,1,99,1,103,1,159,0,163,0,167,0,184,0,197,1,222,1,230,1,247,1,332,1,489,1,503,1,604,1,613,1,634,1,685,1,912,1,921,1,1216,1,1347,1,1394,1,1550,1,1666,2
61,7,61,1,61,1,61,5,61,1,61,2,61,1,61,4,61,1,61,2,61,1,65,2,65,3,65,1,65,1,65,1,78,1,78,2,78,1,82,1,82,2,90,1,103,1,107,1,163,0,167,0,172,0,188,0,201,1,226,1,235,1,253,1,337,1,493,1,507,1,609,1,634,0,639,0,690,0,917,1,925,1,1221,1,1352,1,1399,1,1554,1,1669,2
65,7,65,1,65,1,65,5,65,1,65,2,65,1,65,4,65,1,65,2,65,1,69,2,69,3,69,1,69,1,69,1,82,1,82,2,82,2,86,1,86,2,94,1,107,1,154,1,167,0,172,0,176,0,192,0,206,1,230,1,239,1,256,1,341,1,498,1,511,1,613,1,639,0,643,0,694,0,921,1,930,1,1225,1,1356,1,1403,1,1559,1,1673,2
69,7,69,1,69,1,69,5,69,1,69,2,69,1,69,4,69,1,69,2,69,1,73,2,73,3,73,1,73,1,73,1,86,1,86,2,86,2,90,1,90,2,99,1,154,0,159,1,172,0,176,0,180,0,197,0,209,1,235,1,243,1,260,1,345,1,503,1,516,1,634,0,643,0,647,0,698,0,925,1,934,1,1229,1,1360,1,1406,1,1563,1,1677,2
73,7,73,1,73,1,73,5,73,1,73,2,73,2,73,4,73,1,73,2,73,1,78,2,78,3,78,1,78,1,78,1,90,1,90,2,90,3,94,1,94,2,103,1,159,0,163,1,176,0,180,0,184,0,201,0,213,1,239,1,247,1,264,1,350,1,507,1,520,1,639,0,647,0,651,0,702,0,930,1,938,1,1233,2,1365,1,1411,1,1567,1,1682,2
78,7,78,1,78,1,78,4,78,1,78,2,78,2,78,3,78,1,78,2,78,1,82,3,82,1,82,1,82,0,82,1,94,1,94,2,94,2,99,1,99,1,107,1,163,0,167,1,180,0,184,0,188,0,206,0,218,1,243,0,253,0,269,0,354,0,511,1,524,0,643,0,651,0,655,0,706,0,934,1,942,0,1238,1,1369,1,1416,0,1571,1,1686,2
82,7,82,1,82,1,82,3,82,1,82,2,82,3,82,3,82,1,82,2,82,1,86,3,86,1,86,1,86,0,86,1,99,1,99,1,99,2,103,1,103,1,154,1,167,0,172,1,184,0,188,0,192,0,209,0,222,1,247,0,256,0,273,0,358,0,516,1,528,0,647,0,655,0,659,0,711,0,938,1,947,0,1241,1,1373,1,1420,0,1575,0,1690,0
86,7,86,1,86,1,86,4,86,1,86,2,86,3,86,3,86,1,86,2,86,1,90,3,90,1,90,1,90,0,90,1,103,1,103,1,103,2,107,1,107,1,159,1,172,0,176,1,188,0,192,0,197,0,213,0,226,1,253,0,260,0,277,0,362,0,520,0,532,0,651,0,659,0,664,0,715,0,942,1,951,0,1246,1,1377,1,1423,0,1579,0,1694,0
90,7,90,1,90,1,90,4,90,1,90,2,90,3,90,3,90,1,90,2,90,1,94,3,94,1,94,1,94,0,94,1,107,1,107,1,107,2,154,1,154,0,163,1,176,0,180,1,192,0,197,0,201,0,218,0,230,1,256,0,264,0,281,0,367,0,524,0,537,0,655,0,664,0,668,0,719,0,947,1,955,0,1251,1,1381,1,1428,0,1584,0,1700,0
94,7,94,1,94,1,94,4,94,1,94,2,94,4,94,3,94,1,94,2,94,1,99,3,99,1,99,1,99,0,99,1,154,1,154,1,154,2,159,0,159,0,167,1,180,0,184,1,197,0,201,0,206,1,222,0,235,1,260,0,269,0,285,0,370,0,528,0,541,0,659,0,668,0,673,0,722,0,951,1,959,0,1254,1,1385,1,1433,0,1588,0,1704,0
99,7,99,1,99,1,99,4,99,1,99,2,99,4,99,3,99,1,99,2,99,1,103,3,103,2,103,1,103,0,103,1,159,1,159,1,159,1,163,1,163,0,172,1,184,0,188,1,201,0,206,0,209,1,226,0,239,1,264,0,273,0,290,0,375,0,532,0,545,0,664,0,673,0,676,0,727,0,955,1,963,0,1259,1,1390,1,1437,0,1593,0,1709,0
103,7,103,1,103,1,103,4,103,1,103,2,103,4,103,4,103,1,103,2,103,1,107,3,107,2,107,1,107,0,107,1,163,1,163,1,163,2,167,1,167,0,176,1,188,0,192,1,206,0,209,0,213,1,230,0,243,1,269,0,277,0,294,0,379,0,537,0,549,0,668,0,676,0,681,0,732,0,959,1,968,0,1262,1,1394,1,1441,0,1597,0,1713,0
107,7,107,1,107,1,107,4,107,1,107,2,107,4,107,4,107,1,107,2,107,1,154,2,154,2,154,0,154,0,154,1,167,1,167,1,167,1,172,1,172,0,180,1,192,0,197,1,209,0,213,0,218,1,235,0,247,1,273,0,281,0,299,0,383,0,541,0,554,0,673,0,681,0,685,0,736,0,963,1,972,0,1267,1,1399,1,1445,0,1601,0,1717,0
154,7,154,1,154,1,154,3,154,1,154,2,154,4,154,3,154,1,154,2,154,1,159,2,159,3,159,0,159,0,159,1,172,1,172,0,172,1,176,1,176,0,184,1,197,0,201,1,213,0,218,0,222,1,239,0,253,1,277,0,285,0,303,0,387,0,545,0,558,0,676,0,685,0,690,0,740,0,968,1,976,0,1271,1,1403,1,1449,0,1605,0,1721,0
159,7,159,1,159,1,159,3,159,1,159,2,159,3,159,3,159,1,159,2,159,1,163,2,163,3,163,0,163,0,163,2,176,1,176,0,176,1,180,1,180,0,188,1,201,0,206,1,218,0,222,0,226,1,243,0,256,1,281,0,290,0,306,0,392,0,549,0,562,0,681,0,690,0,694,0,744,0,972,1,980,0,1275,1,1406,1,1454,0,1609,0,1725,0
163,7,163,1,163,1,163,3,163,1,163,2,163,3,163,3,163,1,163,2,163,1,167,2,167,3,167,0,167,0,167,2,180,1,180,0,180,1,184,1,184,0,192,1,206,0,209,1,222,0,226,0,230,1,247,0,260,1,285,0,294,0,311,0,396,0,554,0,566,0,685,0,694,0,698,0,749,0,976,1,984,0,1280,1,1411,0,1457,0,1614,0,1730,0
167,8,167,1,167,1,167,3,167,1,167,2,167,3,167,4,167,1,167,3,167,1,172,1,172,3,172,0,172,0,172,2,184,1,184,0,184,1,188,1,188,1,197,1,209,0,213,1,226,0,230,0,235,1,253,0,264,1,290,0,299,0,316,0,400,0,558,0,570,0,690,0,698,0,702,0,753,0,980,1,989,0,1284,1,1416,0,1462,0,1619,0,1734,0
172,8,172,1,172,1,172,2,172,1,172,2,172,1,172,5,172,1,172,3,172,1,176,1,176,3,176,0,176,0,176,2,188,1,188,0,188,1,192,1,192,1,201,1,213,0,218,1,230,0,235,0,239,1,256,0,269,1,294,0,303,0,319,0,404,0,562,0,575,0,694,0,702,0,706,0,756,0,984,1,993,0,1288,1,1420,0,1466,0,1624,0,1737,0
176,8,176,1,176,1,176,2,176,1,176,2,176,1,176,6,176,1,176,3,176,1,180,1,180,3,180,0,180,0,180,2,192,1,192,0,192,2,197,1,197,1,206,1,218,0,222,1,235,0,239,0,243,1,260,0,273,1,299,0,306,0,324,0,409,1,566,0,579,0,698,0,706,0,711,0,760,0,989,1,998,0,1293,1,1423,0,1470,0,1627,0,1742,0
180,8,180,1,180,1,180,3,180,1,180,2,180,1,180,6,180,1,180,3,180,1,184,1,184,3,184,0,184,0,184,2,197,1,197,0,197,2,201,1,201,1,209,1,222,0,226,1,239,0,243,0,247,1,264,0,277,1,303,0,311,0,329,0,412,1,570,0,584,0,702,0,711,0,715,0,765,0,993,1,1001,0,1297,1,1428,0,1475,0,1631,0,1746,0
184,8,184,1,184,1,184,3,184,1,184,2,184,1,184,6,184,1,184,3,184,1,188,1,188,3,188,0,188,0,188,2,201,1,201,1,201,2,206,1,206,1,213,1,226,0,230,1,243,0,247,0,253,1,269,0,281,0,306,0,316,0,332,0,417,1,575,0,587,0,706,0,715,0,719,0,769,0,998,1,1006,0,1301,1,1433,0,1479,0,1635,0,1750,0
188,8,188,1,188,1,188,3,188,1,188,2,188,1,188,6,188,1,188,3,188,1,192,2,192,3,192,0,192,0,192,2,206,1,206,1,206,2,209,1,209,1,218,1,230,0,235,1,247,0,253,0,256,1,273,0,285,0,311,0,319,0,337,0,421,1,579,0,592,0,711,0,719,0,722,0,773,0,1001,1,1010,0,1305,1,1437,0,1483,0,1640,0,1754,0
192,8,192,1,192,1,192,3,192,1,192,2,192,1,192,6,192,1,192,3,192,1,197,2,197,3,197,0,197,0,197,2,209,1,209,1,209,2,213,1,213,1,222,1,235,0,239,1,253,0,256,0,260,1,277,0,290,0,316,0,324,0,341,0,425,1,584,0,596,0,715,0,722,0,727,0,778,0,1006,1,1014,0,1309,1,1441,0,1487,0,1644,0,1758,0
197,8,197,1,197,1,197,3,197,1,197,2,197,2,197,6,197,1,197,3,197,1,201,2,201,3,201,0,201,0,201,2,213,1,213,1,213,2,218,1,218,1,226,1,239,0,243,1,256,0,260,0,264,1,281,0,294,0,319,0,329,0,345,0,429,1,587,0,600,0,719,0,727,0,732,0,782,0,1010,1,1018,0,1314,1,1445,0,1491,0,1649,0,1763,0
201,8,201,1,201,1,201,4,201,1,201,2,201,2,201,6,201,1,201,3,201,1,206,2,206,3,206,0,206,0,206,2,218,1,218,1,218,2,222,1,222,1,230,1,243,0,247,1,260,0,264,0,269,1,285,0,299,0,324,0,332,0,350,0,434,1,592,0,604,1,722,0,732,0,736,0,786,1,1014,1,1022,0,1318,1,1449,0,1496,0,1653,0,1767,0
206,8,206,1,206,1,206,4,206,1,206,2,206,2,206,6,206,1,206,3,206,1,209,2,209,3,209,0,209,0,209,2,222,1,222,1,222,2,226,1,226,1,235,1,247,0,253,1,264,0,269,0,273,1,290,0,303,0,329,0,337,0,354,0,438,1,596,0,609,1,727,0,736,0,740,0,790,1,1018,1,1027,0,1322,1,1454,0,1500,0,1656,0,1772,0
209,8,209,1,209,1,209,4,209,1,209,2,209,2,209,7,209,1,209,3,209,1,213,2,213,3,213,0,213,0,213,2,226,1,226,1,226,2,230,1,230,1,239,1,253,0,256,1,269,0,273,0,277,1,294,0,306,0,332,0,341,0,358,0,442,1,600,0,613,1,732,0,740,0,744,0,795,1,1022,1,1031,0,1327,1,1457,0,1503,0,1660,0,1776,0
213,8,213,1,213,1,213,4,213,1,213,2,213,2,213,7,213,1,213,3,213,1,218,2,218,3,218,0,218,0,218,2,230,1,230,1,230,2,235,1,235,1,243,1,256,0,260,1,273,0,277,0,281,1,299,0,311,0,337,0,345,0,362,0,446,1,604,0,634,1,736,0,744,0,749,0,799,1,1027,1,1035,0,1331,1,1462,0,1508,0,1666,0,1780,0
218,8,218,1,218,1,218,4,218,1,218,2,218,3,218,7,218,1,218,3,218,1,222,2,222,3,222,0,222,0,222,2,235,1,235,1,235,2,239,1,239,1,247,1,260,0,264,1,277,0,281,0,285,1,303,0,316,0,341,0,350,0,367,0,451,1,609,0,639,1,740,0,749,0,753,0,803,1,1031,1,1040,0,1334,1,1466,0,1512,0,1669,0,1784,0
222,8,222,1,222,1,222,5,222,1,222,2,222,3,222,7,222,1,222,3,222,1,226,3,226,3,226,0,226,0,226,2,239,1,239,1,239,2,243,1,243,1,253,1,264,0,269,1,281,0,285,0,290,1,306,0,319,0,345,0,354,0,370,1,455,1,613,0,643,1,744,0,753,0,756,0,807,1,1035,1,1043,0,1339,1,1470,0,1516,0,1673,0,1789,0
226,8,226,1,226,1,226,5,226,1,226,2,226,3,226,7,226,1,226,3,226,1,230,3,230,4,230,0,230,0,230,2,243,1,243,1,243,2,247,1,247,1,256,1,269,0,273,1,285,0,290,0,294,1,311,0,324,0,350,0,358,0,375,1,460,1,634,0,647,1,749,0,756,0,760,0,812,1,1040,1,1048,0,1343,1,1475,0,1521,0,1677,0,1793,0
230,8,230,1,230,1,230,5,230,1,230,2,230,4,230,7,230,1,230,3,230,1,235,3,235,3,235,0,235,0,235,2,247,1,247,1,247,2,253,1,253,1,260,1,273,0,277,1,290,0,294,0,299,1,316,0,329,0,354,0,362,0,379,1,464,1,639,0,651,1,753,0,760,0,765,0,816,1,1043,1,1052,0,1347,1,1479,0,1525,0,1682,0,1797,0
235,8,235,1,235,1,235,5,235,1,235,2,235,4,235,7,235,1,235,3,235,1,239,3,239,3,239,0,239,0,239,2,253,1,253,1,253,2,256,1,256,1,264,1,277,0,281,1,294,0,299,0,303,1,319,0,332,0,358,0,367,0,383,1,468,1,643,0,655,1,756,0,765,0,769,0,820,1,1048,1,1057,0,1352,0,1483,0,1530,0,1686,0,1801,0
239,8,239,1,239,1,239,4,239,1,239,2,239,4,239,7,239,1,239,3,239,1,243,3,243,3,243,0,243,0,243,2,256,1,256,1,256,2,260,1,260,1,269,1,281,0,285,1,299,0,303,0,306,1,324,0,337,0,362,0,370,0,387,1,472,1,647,0,659,1,760,0,769,0,773,0,824,1,1052,1,1060,0,1356,0,1487,0,1534,0,1690,0,,
243,8,243,1,243,1,243,4,243,1,243,2,243,4,243,7,243,1,243,2,243,1,247,3,247,3,247,0,247,0,247,2,260,1,260,1,260,2,264,1,264,0,273,1,285,0,290,1,303,0,306,0,311,1,329,0,341,0,367,0,375,0,392,1,476,1,651,0,664,1,765,0,773,0,778,0,828,1,1057,1,1065,0,1360,0,1491,0,1538,0,1694,0,,
247,8,247,1,247,1,247,4,247,1,247,2,247,4,247,7,247,1,247,2,247,1,253,3,253,3,253,0,253,0,253,2,264,1,264,1,264,2,269,1,269,0,277,1,290,0,294,1,306,0,311,0,316,1,332,0,345,0,370,0,379,0,396,1,481,1,655,0,668,1,769,0,778,0,782,0,833,1,1060,1,1069,0,1365,0,1496,0,1542,0,1700,0,,
253,8,253,1,253,1,253,4,253,1,253,2,253,4,253,6,253,1,253,2,253,1,256,3,256,3,256,0,256,0,256,2,269,1,269,1,269,0,273,1,273,0,281,1,294,0,299,1,311,0,316,0,319,1,337,0,350,0,375,0,383,0,400,1,485,0,659,0,673,1,773,0,782,0,786,0,837,1,1065,1,1073,0,1369,1,1500,0,1546,0,1704,0,,
256,8,256,1,256,1,256,4,256,1,256,2,256,4,256,6,256,1,256,2,256,1,260,3,260,3,260,1,260,0,260,2,273,1,273,2,273,0,277,1,277,0,285,1,299,0,303,1,316,0,319,0,324,1,341,0,354,0,379,0,387,0,404,1,489,0,664,0,676,1,778,0,786,0,790,0,841,1,1069,1,1077,0,1373,1,1503,0,1550,0,1709,0,,
260,8,260,1,260,1,260,4,260,1,260,2,260,4,260,6,260,1,260,2,260,1,264,3,264,3,264,1,264,0,264,2,277,1,277,2,277,0,281,1,281,0,290,1,303,0,306,1,319,0,324,0,329,1,345,0,358,0,383,0,392,0,409,1,493,0,668,0,681,0,782,0,790,0,795,0,845,1,1073,1,1082,0,1377,1,1508,0,1554,0,1713,0,,
264,8,264,1,264,1,264,4,264,1,264,2,264,4,264,7,264,1,264,2,264,1,269,3,269,3,269,1,269,0,269,2,281,1,281,2,281,0,285,1,285,0,294,1,306,0,311,1,324,1,329,0,332,1,350,0,362,0,387,0,396,0,412,1,498,0,673,0,685,0,786,0,795,0,799,0,850,1,1077,1,1086,0,1381,1,1512,0,1559,0,1717,0,,
269,8,269,1,269,1,269,4,269,1,269,2,269,4,269,8,269,1,269,2,269,1,273,3,273,3,273,1,273,0,273,2,285,1,285,2,285,0,290,1,290,0,299,1,311,0,316,1,329,1,332,0,337,1,354,0,367,0,392,0,400,0,417,1,503,0,676,0,690,0,790,0,799,0,803,0,854,1,1082,1,1090,0,1385,1,1516,0,1563,0,1721,0,,
273,8,273,1,273,1,273,5,273,1,273,2,273,4,273,8,273,1,273,2,273,1,277,3,277,3,277,1,277,0,277,2,290,1,290,2,290,0,294,1,294,1,303,1,316,1,319,1,332,1,337,0,341,1,358,0,370,0,396,0,404,0,421,1,507,0,681,0,694,0,795,0,803,0,807,0,858,1,1086,1,1094,0,1390,1,1521,0,1567,0,1725,0,,
277,8,277,1,277,1,277,4,277,1,277,2,277,4,277,8,277,1,277,2,277,1,281,3,281,3,281,1,281,0,281,2,294,1,294,2,294,1,299,1,299,1,306,1,319,1,324,1,337,1,341,0,345,1,362,0,375,0,400,0,409,0,425,1,511,0,685,0,698,0,799,0,807,0,812,0,862,1,1090,1,1098,0,1394,1,1525,0,1571,0,1730,0,,
281,8,281,1,281,1,281,4,281,1,281,2,281,4,281,8,281,1,281,2,281,1,285,3,285,3,285,1,285,0,285,2,299,1,299,2,299,1,303,1,303,1,311,1,324,1,329,1,341,1,345,0,350,1,367,0,379,0,404,0,412,0,429,1,516,0,690,0,702,0,803,0,812,0,816,0,867,0,1094,1,1102,0,1399,1,1530,0,1575,0,1734,0,,
285,8,285,1,285,1,285,4,285,1,285,2,285,4,285,7,285,1,285,2,285,1,290,3,290,3,290,1,290,0,290,2,303,1,303,2,303,1,306,1,306,1,316,1,329,1,332,1,345,1,350,0,354,1,370,0,383,0,409,0,417,0,434,1,520,0,694,0,706,0,807,0,816,0,820,0,871,0,1098,1,1106,0,1403,1,1534,0,1579,0,1737,0,,
290,8,290,1,290,1,290,4,290,1,290,2,290,4,290,7,290,1,290,2,290,1,294,3,294,3,294,1,294,0,294,2,306,1,306,2,306,1,311,1,311,1,319,1,332,1,337,1,350,1,354,0,358,1,375,0,387,0,412,0,421,0,438,1,524,0,698,0,711,0,812,0,820,0,824,0,875,0,1102,1,1111,0,1406,1,1538,0,1584,0,1742,0,,
294,8,294,1,294,1,294,5,294,1,294,2,294,4,294,8,294,1,294,2,294,1,299,3,299,3,299,1,299,0,299,1,311,1,311,1,311,1,316,1,316,1,324,1,337,1,341,1,354,1,358,0,362,1,379,0,392,0,417,0,425,0,442,1,528,0,702,0,715,0,816,0,824,0,828,0,879,0,1106,1,1115,0,1411,1,1542,0,1588,0,1746,0,,
299,6,299,1,299,1,299,4,299,1,299,2,299,4,299,7,299,1,299,2,299,1,303,3,303,4,303,1,303,0,303,1,316,1,316,1,316,1,319,1,319,1,329,1,341,1,345,1,358,1,362,0,367,1,383,0,396,0,421,0,429,0,446,0,532,0,706,0,719,0,820,0,828,0,833,0,883,0,1111,1,1119,0,1416,1,1546,0,1593,0,1750,0,,
303,6,303,1,303,1,303,4,303,1,303,2,303,4,303,7,303,1,303,2,303,1,306,3,306,3,306,1,306,0,306,1,319,1,319,1,319,1,324,1,324,1,332,1,345,1,350,1,362,1,367,0,370,1,387,0,400,0,425,0,434,0,451,0,537,0,711,0,722,0,824,0,833,0,837,0,888,1,1115,1,1124,0,1420,1,1550,0,1597,0,1754,0,,
306,6,306,1,306,1,306,4,306,1,306,2,306,4,306,7,306,1,306,2,306,1,311,3,311,3,311,1,311,0,311,1,324,1,324,1,324,1,329,1,329,1,337,1,350,1,354,1,367,1,370,0,375,2,392,0,404,0,429,0,438,0,455,0,541,0,715,0,727,0,828,0,837,0,841,0,892,1,1119,1,1127,0,1423,1,1554,0,1601,0,1758,0,,
311,6,311,1,311,1,311,4,311,1,311,2,311,4,311,7,311,1,311,2,311,1,316,3,316,3,316,1,316,0,316,1,329,1,329,1,329,1,332,1,332,2,341,1,354,1,358,1,370,1,375,0,379,2,396,0,409,0,434,0,442,0,460,0,545,0,719,0,732,0,833,0,841,0,845,0,896,1,1124,1,1132,0,1428,1,1559,0,1605,0,1763,0,,
316,6,316,1,316,1,316,4,316,1,316,2,316,4,316,7,316,1,316,2,316,1,319,3,319,3,319,1,319,0,319,1,332,1,332,1,332,1,337,1,337,2,345,1,358,1,362,1,375,1,379,0,383,2,400,0,412,0,438,0,446,0,464,0,549,0,722,0,736,0,837,0,845,0,850,0,900,1,1127,1,1136,0,1433,1,1563,0,1609,0,1767,0,,
