Time,Manual_Count,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Routerboard.com,Time,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Apple,Time,Belkin International Inc.,Time,"NETGEAR INC.,",Time,"CISCO SYSTEMS, INC.",Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,Intel Corporate,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Ubiquiti Networks,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,IBM Corp,Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Enerpoint Ltd.,Time,Hewlett-Packard Company,Time,Hewlett Packard,Time,Lexmark International Inc.,Time,DrayTek Corp.,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,Nokia Corporation,Time,SEIKO EPSON CORPORATION,Time,"Samsung Electro Mechanics co.,LTD.",Time,"CABLE TELEVISION LABORATORIES, INC.",Time,"Apple, Inc",Time,ICP Electronics Inc.,Time,Apple Inc,Time,Liteon Tech Corp.,Time,HTC Corporation
273,5,273,1,273,4,273,0,273,1,273,2,273,3,273,6,273,1,273,1,273,2,276,1,276,1,276,1,281,0,281,1,281,4,285,1,285,3,289,0,289,1,302,0,302,1,306,1,306,0,310,1,315,1,327,0,340,0,348,1,416,0,488,0,492,1,,
276,5,276,1,276,4,276,0,276,1,276,2,276,3,276,6,276,1,276,1,276,2,281,1,281,1,281,1,285,0,285,1,285,3,289,1,289,2,294,0,294,1,306,0,306,1,310,1,310,0,315,1,319,1,332,1,344,0,352,1,420,0,492,0,496,1,,
281,5,281,1,281,4,281,0,281,1,281,2,281,2,281,7,281,1,281,1,281,2,285,1,285,1,285,1,289,0,289,1,289,3,294,1,294,2,297,0,297,1,310,0,310,1,315,1,315,0,319,1,323,1,335,1,348,0,357,1,424,0,496,0,501,1,,
285,5,285,1,285,4,285,0,285,1,285,2,285,2,285,7,285,1,285,1,285,2,289,1,289,1,289,1,294,0,294,1,294,3,297,1,297,2,302,0,302,1,315,0,315,1,319,1,319,0,323,1,327,1,340,1,352,0,361,1,429,0,501,0,506,1,,
289,5,289,1,289,5,289,0,289,1,289,2,289,2,289,6,289,1,289,1,289,1,294,1,294,1,294,1,297,0,297,1,297,3,302,1,302,2,306,0,306,1,319,0,319,1,323,1,323,0,327,1,332,1,344,1,357,0,366,1,433,0,506,0,509,1,,
294,5,294,1,294,5,294,0,294,1,294,2,294,2,294,6,294,1,294,1,294,1,297,1,297,1,297,1,302,0,302,1,302,3,306,1,306,2,310,0,310,1,323,0,323,1,327,1,327,0,332,1,335,1,348,1,361,0,369,1,437,0,509,0,513,1,,
297,5,297,1,297,4,297,0,297,1,297,2,297,2,297,7,297,1,297,1,297,2,302,1,302,1,302,1,306,0,306,1,306,3,310,1,310,2,315,0,315,1,327,0,327,1,332,1,332,0,335,1,340,1,352,1,366,0,373,1,441,0,513,0,518,1,,
302,5,302,1,302,4,302,0,302,1,302,2,302,2,302,7,302,1,302,1,302,2,306,1,306,1,306,1,310,0,310,1,310,4,315,1,315,2,319,0,319,1,332,0,332,1,335,1,335,0,340,1,344,1,357,1,369,0,378,1,446,0,518,0,522,1,,
306,5,306,1,306,4,306,0,306,1,306,2,306,2,306,7,306,1,306,1,306,2,310,1,310,1,310,1,315,1,315,1,315,3,319,1,319,2,323,0,323,1,335,0,335,1,340,1,340,0,344,1,348,1,361,1,373,0,382,1,450,1,522,0,,,,
310,5,310,1,310,4,310,0,310,1,310,2,310,2,310,10,310,1,310,1,310,2,315,1,315,1,315,2,319,1,319,1,319,3,323,1,323,2,327,0,327,1,340,0,340,0,344,1,344,0,348,1,352,1,366,1,378,0,386,1,454,1,,,,,,
315,5,315,1,315,4,315,0,315,1,315,2,315,2,315,9,315,1,315,1,315,2,319,1,319,1,319,2,323,1,323,1,323,3,327,1,327,2,332,0,332,1,344,0,344,0,348,1,348,0,352,1,357,1,369,1,382,0,390,1,458,1,,,,,,
319,5,319,1,319,5,319,0,319,1,319,2,319,2,319,9,319,1,319,1,319,2,323,1,323,1,323,2,327,1,327,1,327,3,332,1,332,2,335,0,335,2,348,1,348,0,352,1,352,0,357,1,361,1,373,1,386,0,395,1,462,1,,,,,,
323,5,323,1,323,5,323,0,323,1,323,2,323,2,323,9,323,1,323,1,323,2,327,1,327,1,327,2,332,1,332,1,332,3,335,1,335,2,340,0,340,2,352,1,352,0,357,1,357,0,361,1,366,0,378,1,390,0,399,1,467,1,,,,,,
327,5,327,1,327,6,327,0,327,1,327,2,327,2,327,10,327,1,327,1,327,2,332,1,332,1,332,2,335,1,335,1,335,3,340,1,340,2,344,0,344,2,357,1,357,0,361,1,361,0,366,1,369,0,382,1,395,0,403,1,471,1,,,,,,
332,5,332,1,332,6,332,0,332,1,332,2,332,2,332,10,332,1,332,1,332,2,335,1,335,1,335,2,340,1,340,1,340,3,344,1,344,2,348,0,348,2,361,1,361,0,366,1,366,0,369,1,373,0,386,1,399,0,408,1,475,1,,,,,,
335,5,335,1,335,6,335,0,335,1,335,2,335,2,335,10,335,1,335,1,335,2,340,1,340,1,340,2,344,1,344,1,344,3,348,1,348,2,352,0,352,2,366,1,366,0,369,1,369,0,373,1,378,0,390,1,403,0,412,1,479,1,,,,,,
340,5,340,1,340,6,340,0,340,1,340,2,340,2,340,10,340,1,340,1,340,2,344,1,344,1,344,2,348,1,348,1,348,3,352,1,352,1,357,0,357,1,369,1,369,0,373,1,373,0,378,1,382,0,395,1,408,0,416,1,483,1,,,,,,
344,5,344,1,344,6,344,0,344,1,344,2,344,2,344,10,344,1,344,1,344,2,348,1,348,1,348,2,352,1,352,1,352,3,357,1,357,2,361,0,361,2,373,1,373,0,378,1,378,0,382,1,386,0,399,1,412,0,420,1,488,1,,,,,,
348,5,348,1,348,5,348,0,348,1,348,2,348,2,348,10,348,1,348,1,348,2,352,1,352,1,352,2,357,1,357,1,357,3,361,1,361,2,366,0,366,2,378,1,378,0,382,1,382,0,386,1,390,0,403,1,416,0,424,1,492,1,,,,,,
352,5,352,1,352,5,352,0,352,1,352,2,352,2,352,10,352,1,352,1,352,2,357,1,357,1,357,2,361,1,361,1,361,3,366,1,366,2,369,0,369,2,382,1,382,0,386,1,386,0,390,1,395,0,408,0,420,0,429,1,496,1,,,,,,
357,5,357,1,357,5,357,0,357,1,357,2,357,2,357,9,357,1,357,1,357,2,361,1,361,1,361,2,366,1,366,1,366,3,369,1,369,2,373,0,373,2,386,1,386,0,390,1,390,0,395,1,399,0,412,0,424,0,433,0,501,1,,,,,,
361,5,361,1,361,5,361,0,361,1,361,2,361,2,361,9,361,1,361,1,361,2,366,1,366,1,366,2,369,1,369,1,369,3,373,1,373,2,378,0,378,2,390,1,390,0,395,1,395,0,399,0,403,0,416,0,429,0,437,1,506,1,,,,,,
366,5,366,1,366,4,366,0,366,1,366,2,366,2,366,9,366,1,366,1,366,2,369,1,369,1,369,2,373,1,373,1,373,3,378,1,378,2,382,0,382,2,395,1,395,0,399,1,399,0,403,0,408,0,420,0,433,0,441,1,509,1,,,,,,
369,5,369,1,369,4,369,0,369,1,369,2,369,2,369,9,369,1,369,1,369,2,373,1,373,1,373,2,378,1,378,1,378,2,382,1,382,2,386,0,386,2,399,2,399,0,403,1,403,0,408,0,412,1,424,0,437,0,446,1,513,1,,,,,,
373,5,373,1,373,4,373,0,373,1,373,2,373,2,373,8,373,1,373,1,373,2,378,1,378,1,378,2,382,1,382,1,382,2,386,1,386,2,390,0,390,2,403,2,403,0,408,1,408,0,412,0,416,1,429,0,441,0,450,2,518,1,,,,,,
378,5,378,1,378,4,378,0,378,1,378,2,378,3,378,8,378,1,378,1,378,2,382,1,382,1,382,2,386,1,386,1,386,2,390,1,390,2,395,0,395,2,408,2,408,0,412,1,412,0,416,0,420,1,433,0,446,0,454,2,522,1,,,,,,
382,5,382,1,382,4,382,0,382,1,382,2,382,3,382,9,382,1,382,1,382,2,386,1,386,1,386,2,390,1,390,1,390,2,395,1,395,2,399,0,399,2,412,2,412,0,416,1,416,0,420,0,424,1,437,0,450,0,458,2,,,,,,,,
386,5,386,1,386,5,386,1,386,1,386,2,386,3,386,9,386,1,386,1,386,2,390,1,390,1,390,2,395,1,395,1,395,2,399,1,399,2,403,0,403,2,416,2,416,0,420,1,420,0,424,0,429,1,441,0,454,0,462,2,,,,,,,,
390,5,390,1,390,5,390,1,390,1,390,2,390,3,390,9,390,1,390,1,390,2,395,1,395,1,395,2,399,1,399,1,399,2,403,1,403,2,408,0,408,2,420,2,420,0,424,1,424,0,429,0,433,1,446,0,458,0,467,2,,,,,,,,
395,5,395,1,395,4,395,1,395,1,395,2,395,5,395,9,395,1,395,1,395,2,399,1,399,1,399,2,403,1,403,1,403,2,408,1,408,2,412,0,412,2,424,2,424,0,429,1,429,0,433,0,437,1,450,0,462,0,471,2,,,,,,,,
399,5,399,1,399,4,399,1,399,1,399,2,399,5,399,9,399,1,399,1,399,2,403,1,403,1,403,2,408,1,408,1,408,2,412,1,412,2,416,0,416,2,429,2,429,0,433,1,433,0,437,0,441,1,454,0,467,0,475,2,,,,,,,,
