Time,Manual_Count,Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,IBM Corp,Time,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Apple,Time,Belkin International Inc.,Time,"CISCO SYSTEMS, INC.",Time,DrayTek Corp.,Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,"Apple, Inc",Time,Hewlett Packard,Time,"NETGEAR INC.,",Time,SEIKO EPSON CORPORATION,Time,Liteon Tech Corp.,Time,Routerboard.com,Time,"Samsung Electro Mechanics co.,LTD.",Time,Hewlett-Packard Company,Time,HTC Corporation,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Enerpoint Ltd.,Time,"Verifone, INC.",Time,"Apple, Inc.",Time,ICP Electronics Inc.,Time,Lexmark International Inc.,Time,LG Electronics,Time,"Murata Manufactuaring Co.,Ltd.",Time,WISOL,Time,"Murata Manufacturing Co.,Ltd.",Time,Motorola Mobility LLC,Time,Apple Inc,Time,"Samsung Elec Co.,Ltd",Time,FUJI-XEROX CO. LTD.
46,14,46,1,46,2,46,1,46,1,46,3,46,4,46,1,46,1,46,1,46,1,46,3,46,5,46,1,46,2,50,1,50,2,50,3,55,3,55,1,59,1,59,1,63,1,63,1,72,1,92,1,109,1,126,1,139,1,147,1,237,1,401,1,419,1,452,1,469,1,545,1,661,1,679,1,730,1,768,1
50,14,50,1,50,2,50,1,50,1,50,3,50,3,50,1,50,0,50,1,50,1,50,2,50,3,50,1,50,2,55,1,55,1,55,2,59,2,59,1,63,1,63,0,67,1,67,0,76,1,97,0,114,0,130,0,143,0,151,0,242,0,405,0,423,1,456,0,473,0,549,0,666,0,683,1,734,0,773,0
55,14,55,1,55,2,55,1,55,1,55,2,55,3,55,1,55,0,55,1,55,1,55,2,55,4,55,1,55,2,59,1,59,1,59,2,63,2,63,1,67,1,67,0,72,1,72,0,80,1,101,0,118,0,134,0,147,0,156,0,246,0,410,0,426,0,461,0,478,0,553,0,670,0,687,1,739,0,776,0
59,14,59,1,59,2,59,1,59,1,59,2,59,3,59,1,59,0,59,1,59,1,59,2,59,4,59,1,59,2,63,1,63,1,63,2,67,1,67,1,72,1,72,0,76,0,76,1,84,1,105,0,122,0,139,0,151,0,160,0,250,0,414,0,432,0,464,0,481,0,557,0,674,0,692,1,743,0,781,0
63,14,63,1,63,1,63,1,63,1,63,2,63,3,63,1,63,0,63,1,63,1,63,2,63,4,63,1,63,2,67,1,67,2,67,3,72,1,72,1,76,1,76,1,80,0,80,1,88,1,109,0,126,0,143,0,156,0,164,0,255,0,419,0,435,0,469,0,486,0,562,0,679,0,696,1,747,0,785,0
67,14,67,1,67,1,67,1,67,1,67,2,67,3,67,1,67,0,67,1,67,1,67,2,67,5,67,1,67,2,72,1,72,2,72,2,76,1,76,1,80,1,80,1,84,0,84,1,92,1,114,0,130,0,147,0,160,0,169,0,258,0,423,0,439,0,473,0,490,0,566,0,683,0,700,1,751,0,789,0
72,14,72,1,72,2,72,1,72,1,72,2,72,3,72,1,72,0,72,1,72,1,72,2,72,6,72,1,72,2,76,1,76,2,76,2,80,1,80,1,84,1,84,1,88,0,88,1,97,1,118,0,134,0,151,0,164,0,172,0,263,0,426,0,443,0,478,0,494,0,570,0,687,0,705,1,755,0,794,0
76,14,76,1,76,2,76,1,76,1,76,2,76,3,76,1,76,0,76,1,76,1,76,2,76,6,76,1,76,2,80,1,80,2,80,2,84,1,84,1,88,1,88,1,92,0,92,1,101,1,122,0,139,0,156,0,169,0,176,0,267,0,432,0,448,0,481,0,498,0,574,0,692,0,709,1,760,0,798,0
80,14,80,1,80,2,80,1,80,1,80,2,80,3,80,1,80,0,80,1,80,1,80,2,80,6,80,1,80,2,84,1,84,2,84,2,88,0,88,1,92,1,92,1,97,0,97,1,105,1,126,0,143,0,160,0,172,0,181,0,271,0,435,0,452,0,486,0,503,0,578,0,696,0,713,1,764,0,802,0
84,14,84,1,84,2,84,1,84,1,84,2,84,3,84,1,84,0,84,1,84,1,84,2,84,6,84,1,84,2,88,1,88,2,88,2,92,0,92,1,97,1,97,1,101,0,101,1,109,0,130,0,147,0,164,0,176,0,185,0,276,0,439,0,456,0,490,0,507,0,583,0,700,0,717,1,768,0,806,0
88,14,88,1,88,2,88,1,88,1,88,2,88,3,88,1,88,0,88,1,88,1,88,3,88,6,88,1,88,2,92,1,92,2,92,1,97,0,97,1,101,1,101,1,105,0,105,1,114,0,134,0,151,0,169,0,181,0,190,0,280,0,443,0,461,0,494,0,511,0,587,0,705,0,722,1,773,0,810,0
92,14,92,1,92,2,92,1,92,1,92,2,92,3,92,1,92,0,92,1,92,1,92,3,92,6,92,1,92,2,97,1,97,2,97,1,101,0,101,1,105,1,105,1,109,0,109,1,118,0,139,0,156,0,172,0,185,0,193,0,284,0,448,0,464,0,498,0,515,0,591,0,709,0,726,1,776,0,815,0
97,14,97,1,97,2,97,1,97,1,97,2,97,2,97,1,97,0,97,1,97,1,97,3,97,6,97,1,97,2,101,1,101,2,101,2,105,0,105,1,109,1,109,1,114,0,114,1,122,0,143,0,160,0,176,0,190,0,198,0,288,0,452,0,469,0,503,0,519,0,595,0,713,0,730,1,781,0,819,0
101,14,101,1,101,2,101,1,101,1,101,2,101,2,101,1,101,0,101,1,101,1,101,3,101,5,101,1,101,2,105,1,105,2,105,2,109,0,109,1,114,1,114,1,118,0,118,1,126,1,147,0,164,0,181,0,193,0,202,0,292,0,456,0,473,0,507,0,524,0,599,0,717,0,734,1,785,0,824,0
105,14,105,1,105,2,105,1,105,1,105,2,105,2,105,1,105,0,105,1,105,1,105,3,105,5,105,1,105,2,109,1,109,2,109,2,114,0,114,1,118,1,118,1,122,0,122,0,130,1,151,0,169,0,185,0,198,0,206,0,297,0,461,0,478,0,511,0,528,0,603,0,722,0,739,1,789,0,827,0
109,14,109,1,109,2,109,1,109,1,109,2,109,2,109,1,109,0,109,1,109,1,109,3,109,4,109,1,109,1,114,1,114,1,114,1,118,0,118,1,122,1,122,0,126,0,126,0,134,1,156,0,172,0,190,0,202,0,211,0,300,0,464,0,481,0,515,0,532,0,609,0,726,0,743,1,794,0,832,0
114,14,114,1,114,2,114,1,114,1,114,2,114,2,114,1,114,0,114,1,114,1,114,3,114,3,114,1,114,1,118,1,118,1,118,1,122,0,122,1,126,1,126,0,130,0,130,0,139,1,160,0,176,0,193,0,206,0,215,0,305,0,469,0,486,0,519,0,537,0,614,0,730,0,747,1,798,0,836,0
118,14,118,1,118,1,118,1,118,1,118,2,118,2,118,1,118,0,118,1,118,1,118,3,118,2,118,1,118,1,122,1,122,1,122,1,126,0,126,1,130,1,130,0,134,0,134,0,143,1,164,0,181,0,198,0,211,0,219,0,309,0,473,0,490,0,524,0,541,0,618,0,734,0,751,1,802,0,841,0
122,14,122,1,122,1,122,1,122,1,122,2,122,2,122,1,122,0,122,1,122,1,122,3,122,3,122,1,122,1,126,1,126,1,126,1,130,0,130,1,134,1,134,0,139,0,139,0,147,1,169,0,185,0,202,0,215,0,223,0,313,0,478,0,494,0,528,0,545,0,622,0,739,0,755,1,806,0,845,0
126,14,126,1,126,1,126,1,126,1,126,2,126,2,126,1,126,0,126,1,126,1,126,3,126,3,126,1,126,1,130,1,130,1,130,1,134,0,134,1,139,1,139,0,143,0,143,0,151,1,172,0,190,0,206,0,219,0,229,0,317,0,481,0,498,0,532,0,549,0,626,0,743,0,760,1,810,0,849,0
130,14,130,1,130,1,130,1,130,1,130,2,130,2,130,1,130,1,130,1,130,1,130,3,130,3,130,1,130,1,134,1,134,1,134,1,139,0,139,1,143,0,143,0,147,0,147,0,156,2,176,0,193,1,211,0,223,0,233,0,321,0,486,0,503,0,537,0,553,0,631,0,747,0,764,0,815,0,854,0
134,14,134,1,134,1,134,1,134,1,134,2,134,2,134,1,134,1,134,1,134,1,134,3,134,3,134,1,134,1,139,1,139,1,139,1,143,0,143,1,147,0,147,0,151,0,151,0,160,2,181,0,198,1,215,0,229,0,237,0,326,0,490,0,507,0,541,0,557,0,635,0,751,0,768,0,819,0,857,0
139,14,139,1,139,1,139,1,139,1,139,2,139,2,139,1,139,1,139,2,139,1,139,3,139,3,139,1,139,1,143,1,143,1,143,1,147,0,147,1,151,0,151,0,156,0,156,0,164,2,185,0,202,1,219,0,233,0,242,0,330,0,494,0,511,0,545,0,562,0,639,0,755,0,773,0,824,0,861,0
143,14,143,1,143,1,143,1,143,1,143,2,143,2,143,1,143,1,143,2,143,1,143,3,143,4,143,1,143,1,147,1,147,2,147,0,151,0,151,1,156,0,156,0,160,0,160,0,169,2,190,0,206,1,223,0,237,0,246,0,334,0,498,0,515,0,549,0,566,0,644,0,760,0,776,0,827,0,865,0
147,14,147,1,147,1,147,1,147,1,147,2,147,2,147,1,147,1,147,2,147,1,147,3,147,4,147,1,147,1,151,1,151,2,151,0,156,0,156,1,160,1,160,0,164,0,164,0,172,2,193,0,211,1,229,0,242,0,250,0,338,0,503,0,519,0,553,0,570,0,648,0,764,0,781,0,832,0,870,0
151,15,151,1,151,1,151,1,151,1,151,2,151,3,151,1,151,1,151,2,151,1,151,3,151,4,151,1,151,1,156,1,156,2,156,0,160,0,160,1,164,1,164,0,169,0,169,0,176,2,198,0,215,1,233,0,246,0,255,0,343,0,507,0,524,0,557,0,574,0,652,0,768,0,785,0,836,0,874,0
156,15,156,1,156,1,156,1,156,1,156,2,156,3,156,1,156,1,156,2,156,1,156,3,156,4,156,1,156,1,160,1,160,2,160,1,164,1,164,1,169,1,169,0,172,0,172,0,181,2,202,1,219,1,237,0,250,0,258,0,346,0,511,0,528,0,562,0,578,0,657,0,773,0,789,0,841,0,879,0
160,15,160,1,160,1,160,1,160,1,160,2,160,3,160,1,160,1,160,2,160,1,160,3,160,4,160,1,160,1,164,1,164,2,164,1,169,1,169,1,172,1,172,0,176,0,176,1,185,2,206,1,223,2,242,0,255,0,263,0,351,0,515,0,532,0,566,0,583,0,661,0,776,0,794,0,845,0,882,0
164,15,164,1,164,1,164,1,164,1,164,2,164,2,164,1,164,1,164,2,164,1,164,3,164,4,164,1,164,1,169,1,169,2,169,1,172,1,172,1,176,1,176,0,181,0,181,1,190,2,211,1,229,2,246,0,258,0,267,0,355,0,519,0,537,0,570,0,587,0,666,0,781,0,798,0,849,0,887,0
169,15,169,1,169,1,169,1,169,1,169,2,169,1,169,0,169,1,169,2,169,1,169,3,169,3,169,1,169,1,172,1,172,2,172,1,176,1,176,1,181,1,181,0,185,0,185,1,193,2,215,1,233,2,250,0,263,0,271,0,359,0,524,0,541,0,574,0,591,0,670,0,785,0,802,0,854,0,891,0
172,15,172,1,172,1,172,1,172,1,172,2,172,2,172,0,172,1,172,2,172,1,172,3,172,3,172,1,172,1,176,1,176,2,176,1,181,1,181,1,185,1,185,0,190,0,190,1,198,2,219,1,237,2,255,0,267,0,276,0,363,0,528,0,545,0,578,0,595,0,674,0,789,0,806,0,857,0,895,0
176,15,176,1,176,1,176,1,176,1,176,2,176,2,176,0,176,0,176,2,176,1,176,3,176,4,176,1,176,1,181,1,181,2,181,1,185,1,185,1,190,1,190,0,193,0,193,1,202,2,223,1,242,2,258,0,271,0,280,0,367,0,532,0,549,0,583,0,599,0,679,0,794,0,810,0,861,0,899,0
181,15,181,1,181,1,181,1,181,1,181,2,181,2,181,0,181,0,181,2,181,1,181,3,181,4,181,1,181,1,185,1,185,2,185,1,190,1,190,1,193,1,193,0,198,0,198,1,206,2,229,1,246,2,263,0,276,0,284,0,372,0,537,0,553,0,587,0,603,0,683,0,798,0,815,0,865,0,904,0
185,15,185,1,185,1,185,1,185,1,185,2,185,2,185,0,185,0,185,1,185,1,185,3,185,5,185,1,185,1,190,1,190,2,190,1,193,1,193,1,198,1,198,0,202,0,202,1,211,2,233,1,250,2,267,0,280,0,288,0,376,0,541,0,557,0,591,0,609,0,687,0,802,0,819,0,870,0,908,0
190,15,190,1,190,1,190,1,190,1,190,2,190,3,190,0,190,0,190,1,190,1,190,3,190,4,190,1,190,1,193,1,193,1,193,2,198,1,198,1,202,1,202,0,206,0,206,1,215,2,237,1,255,2,271,0,284,0,292,0,380,0,545,0,562,0,595,0,614,0,692,0,806,0,824,0,874,0,,
193,15,193,1,193,2,193,1,193,1,193,2,193,3,193,0,193,0,193,1,193,1,193,3,193,6,193,1,193,1,198,1,198,1,198,2,202,1,202,1,206,0,206,0,211,0,211,2,219,2,242,1,258,2,276,0,288,0,297,0,385,0,549,0,566,0,599,0,618,0,696,0,810,0,827,0,879,0,,
198,15,198,1,198,2,198,1,198,1,198,2,198,3,198,0,198,0,198,1,198,1,198,3,198,6,198,1,198,2,202,1,202,1,202,2,206,1,206,1,211,0,211,0,215,0,215,2,223,2,246,0,263,2,280,0,292,0,300,0,389,0,553,0,570,0,603,0,622,0,700,0,815,0,832,0,882,0,,
202,15,202,1,202,2,202,1,202,1,202,2,202,3,202,0,202,0,202,1,202,1,202,3,202,6,202,1,202,2,206,1,206,2,206,2,211,1,211,1,215,0,215,0,219,0,219,2,229,1,250,0,267,1,284,0,297,0,305,0,393,0,557,0,574,0,609,0,626,0,705,0,819,0,836,0,887,0,,
206,15,206,1,206,2,206,1,206,1,206,2,206,3,206,0,206,0,206,1,206,1,206,3,206,7,206,1,206,2,211,1,211,2,211,1,215,1,215,1,219,1,219,0,223,0,223,2,233,1,255,0,271,1,288,0,300,0,309,0,397,0,562,0,578,0,614,0,631,0,709,0,824,0,841,0,891,0,,
211,15,211,1,211,3,211,1,211,1,211,2,211,2,211,0,211,0,211,1,211,1,211,2,211,7,211,1,211,2,215,1,215,2,215,1,219,1,219,1,223,1,223,0,229,0,229,2,237,2,258,0,276,1,292,0,305,0,313,0,401,0,566,0,583,0,618,0,635,0,713,0,827,0,845,0,895,0,,
215,15,215,1,215,3,215,1,215,1,215,2,215,2,215,0,215,0,215,1,215,1,215,2,215,7,215,1,215,2,219,1,219,2,219,1,223,1,223,1,229,1,229,0,233,0,233,2,242,2,263,0,280,1,297,0,309,0,317,0,405,0,570,0,587,0,622,0,639,0,717,0,832,0,849,0,899,0,,
219,15,219,1,219,3,219,1,219,1,219,2,219,1,219,0,219,0,219,1,219,1,219,2,219,7,219,1,219,2,223,1,223,2,223,1,229,1,229,1,233,1,233,0,237,0,237,1,246,2,267,0,284,1,300,0,313,0,321,0,410,0,574,0,591,0,626,0,644,0,722,0,836,0,854,0,904,0,,
223,15,223,1,223,3,223,1,223,1,223,2,223,1,223,0,223,0,223,1,223,1,223,2,223,7,223,1,223,2,229,1,229,2,229,2,233,2,233,1,237,1,237,0,242,0,242,1,250,2,271,0,288,0,305,0,317,0,326,0,414,0,578,0,595,0,631,0,648,0,726,0,841,0,857,0,908,0,,
229,15,229,1,229,3,229,1,229,1,229,2,229,1,229,0,229,0,229,2,229,1,229,2,229,7,229,1,229,2,233,1,233,2,233,2,237,2,237,1,242,1,242,0,246,0,246,1,255,2,276,0,292,0,309,0,321,0,330,0,419,0,583,0,599,0,635,0,652,0,730,0,845,0,861,0,,,,
233,15,233,1,233,3,233,1,233,1,233,2,233,1,233,1,233,0,233,2,233,1,233,2,233,7,233,1,233,2,237,1,237,2,237,1,242,2,242,1,246,1,246,0,250,0,250,1,258,2,280,0,297,0,313,0,326,0,334,0,423,0,587,0,603,0,639,0,657,0,734,0,849,0,865,0,,,,
237,15,237,1,237,3,237,1,237,1,237,2,237,1,237,1,237,0,237,2,237,1,237,2,237,6,237,1,237,2,242,1,242,2,242,1,246,2,246,1,250,1,250,0,255,0,255,0,263,1,284,0,300,0,317,0,330,0,338,0,426,0,591,0,609,0,644,0,661,0,739,0,854,0,870,0,,,,
242,15,242,1,242,3,242,1,242,1,242,2,242,1,242,1,242,0,242,2,242,1,242,2,242,6,242,1,242,2,246,1,246,2,246,1,250,2,250,1,255,1,255,0,258,0,258,0,267,2,288,0,305,1,321,0,334,0,343,0,432,0,595,0,614,0,648,0,666,0,743,0,857,0,874,0,,,,
246,15,246,1,246,3,246,1,246,1,246,3,246,1,246,1,246,0,246,2,246,1,246,3,246,7,246,1,246,2,250,1,250,1,250,1,255,1,255,1,258,1,258,0,263,0,263,0,271,2,292,0,309,1,326,0,338,0,346,0,435,0,599,0,618,1,652,0,670,0,747,0,861,0,879,0,,,,
250,15,250,1,250,3,250,1,250,1,250,3,250,2,250,1,250,0,250,2,250,1,250,3,250,7,250,1,250,2,255,1,255,1,255,1,258,1,258,1,263,1,263,0,267,0,267,0,276,2,297,0,313,1,330,0,343,0,351,0,439,0,603,0,622,1,657,0,674,0,751,0,865,0,882,0,,,,
255,15,255,1,255,1,255,1,255,1,255,3,255,2,255,1,255,0,255,2,255,1,255,3,255,5,255,1,255,2,258,1,258,1,258,1,263,2,263,1,267,1,267,0,271,0,271,0,280,2,300,0,317,1,334,0,346,0,355,0,443,0,609,0,626,1,661,0,679,0,755,0,870,0,887,0,,,,
258,15,258,1,258,1,258,1,258,1,258,3,258,2,258,1,258,0,258,2,258,1,258,3,258,6,258,1,258,2,263,1,263,1,263,1,267,2,267,1,271,1,271,0,276,0,276,0,284,2,305,0,321,1,338,0,351,0,359,0,448,0,614,0,631,1,666,0,683,0,760,0,874,0,891,0,,,,
263,15,263,1,263,1,263,1,263,1,263,3,263,3,263,1,263,0,263,2,263,1,263,4,263,5,263,1,263,2,267,1,267,1,267,1,271,2,271,1,276,1,276,0,280,0,280,0,288,2,309,0,326,1,343,0,355,0,363,0,452,0,618,0,635,1,670,0,687,0,764,0,879,0,895,0,,,,
267,15,267,1,267,1,267,1,267,1,267,3,267,3,267,1,267,0,267,2,267,1,267,4,267,5,267,1,267,2,271,1,271,1,271,1,276,2,276,1,280,1,280,0,284,0,284,0,292,1,313,0,330,1,346,0,359,0,367,0,456,0,622,0,639,1,674,0,692,0,768,0,882,0,899,0,,,,
271,15,271,1,271,1,271,1,271,1,271,3,271,3,271,1,271,0,271,2,271,1,271,4,271,6,271,1,271,2,276,1,276,1,276,1,280,2,280,1,284,1,284,0,288,0,288,0,297,1,317,0,334,1,351,0,363,0,372,0,461,0,626,0,644,1,679,0,696,0,773,0,887,0,904,0,,,,
276,15,276,1,276,1,276,1,276,1,276,3,276,3,276,1,276,0,276,1,276,1,276,4,276,7,276,1,276,2,280,1,280,1,280,1,284,2,284,1,288,1,288,0,292,0,292,0,300,1,321,0,338,1,355,0,367,0,376,0,464,0,631,0,648,1,683,0,700,0,776,0,891,0,908,0,,,,
280,15,280,1,280,1,280,1,280,1,280,3,280,3,280,1,280,0,280,1,280,1,280,4,280,7,280,1,280,2,284,1,284,1,284,1,288,2,288,1,292,1,292,0,297,0,297,0,305,1,326,0,343,1,359,0,372,0,380,0,469,0,635,0,652,1,687,0,705,0,781,0,895,0,,,,,,
284,15,284,1,284,1,284,1,284,1,284,3,284,2,284,1,284,0,284,1,284,1,284,4,284,7,284,1,284,2,288,1,288,1,288,1,292,1,292,1,297,1,297,0,300,0,300,0,309,1,330,0,346,1,363,0,376,0,385,0,473,0,639,0,657,1,692,0,709,0,785,0,899,0,,,,,,
288,15,288,1,288,1,288,1,288,1,288,3,288,2,288,1,288,0,288,1,288,1,288,4,288,7,288,1,288,2,292,1,292,1,292,1,297,1,297,1,300,1,300,0,305,0,305,0,313,0,334,0,351,0,367,0,380,0,389,0,478,0,644,0,661,1,696,0,713,0,789,0,904,0,,,,,,
292,15,292,1,292,1,292,1,292,1,292,2,292,2,292,1,292,0,292,0,292,1,292,4,292,7,292,1,292,2,297,1,297,1,297,1,300,1,300,1,305,1,305,0,309,0,309,0,317,0,338,0,355,0,372,0,385,0,393,0,481,0,648,0,666,0,700,0,717,0,794,0,908,0,,,,,,
297,15,297,1,297,1,297,1,297,1,297,2,297,2,297,1,297,0,297,0,297,1,297,4,297,7,297,1,297,2,300,1,300,1,300,1,305,1,305,1,309,1,309,0,313,0,313,0,321,0,343,0,359,0,376,0,389,0,397,0,486,0,652,0,670,0,705,0,722,0,798,0,,,,,,,,
300,15,300,1,300,1,300,1,300,1,300,2,300,2,300,1,300,0,300,0,300,1,300,4,300,7,300,1,300,2,305,1,305,1,305,1,309,0,309,1,313,0,313,0,317,0,317,0,326,0,346,0,363,0,380,0,393,0,401,0,490,0,657,0,674,0,709,0,726,0,802,0,,,,,,,,
305,15,305,1,305,1,305,1,305,1,305,2,305,2,305,0,305,0,305,0,305,1,305,4,305,5,305,1,305,2,309,1,309,1,309,1,313,0,313,1,317,0,317,1,321,0,321,0,330,0,351,0,367,0,385,0,397,0,405,0,494,0,661,0,679,0,713,0,730,0,806,0,,,,,,,,
309,15,309,1,309,1,309,1,309,1,309,2,309,2,309,0,309,1,309,0,309,1,309,4,309,5,309,1,309,2,313,1,313,1,313,1,317,0,317,0,321,0,321,1,326,0,326,0,334,0,355,0,372,0,389,0,401,0,410,0,498,0,666,0,683,0,717,1,734,0,810,0,,,,,,,,
313,15,313,1,313,1,313,1,313,1,313,1,313,2,313,0,313,1,313,0,313,1,313,4,313,4,313,1,313,2,317,1,317,1,317,1,321,0,321,1,326,0,326,1,330,0,330,0,338,0,359,0,376,0,393,0,405,0,414,0,503,0,670,0,687,0,722,1,739,0,815,0,,,,,,,,
317,15,317,1,317,1,317,1,317,1,317,1,317,2,317,0,317,1,317,1,317,1,317,4,317,3,317,1,317,2,321,1,321,1,321,2,326,0,326,1,330,0,330,1,334,0,334,0,343,0,363,0,380,0,397,0,410,0,419,0,507,0,674,0,692,0,726,1,743,0,819,0,,,,,,,,
321,15,321,1,321,1,321,1,321,1,321,1,321,2,321,0,321,1,321,1,321,1,321,4,321,2,321,1,321,2,326,1,326,1,326,2,330,0,330,1,334,0,334,1,338,0,338,0,346,0,367,0,385,0,401,0,414,0,423,0,511,0,679,0,696,0,730,1,747,0,824,0,,,,,,,,
326,15,326,1,326,1,326,1,326,1,326,1,326,2,326,0,326,1,326,1,326,1,326,4,326,2,326,1,326,2,330,1,330,1,330,1,334,0,334,1,338,0,338,1,343,0,343,0,351,0,372,0,389,0,405,0,419,0,426,0,515,0,683,0,700,0,734,1,751,0,827,0,,,,,,,,
330,15,330,1,330,1,330,1,330,1,330,1,330,2,330,0,330,1,330,1,330,1,330,4,330,3,330,1,330,1,334,0,334,1,334,1,338,0,338,1,343,1,343,1,346,0,346,0,355,0,376,0,393,0,410,0,423,0,432,0,519,0,687,0,705,0,739,1,755,0,832,0,,,,,,,,
334,15,334,1,334,1,334,1,334,1,334,1,334,2,334,0,334,1,334,2,334,1,334,4,334,3,334,1,334,1,338,0,338,1,338,2,343,0,343,1,346,1,346,1,351,0,351,0,359,0,380,0,397,0,414,0,426,0,435,0,524,0,692,0,709,0,743,1,760,0,836,0,,,,,,,,
