Time,Manual_Count,Time,Netgear Inc.,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,Apple,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett-Packard Company,Time,Hewlett Packard,Time,DrayTek Corp.,Time,ASUSTek COMPUTER INC.,Time,IBM Corp,Time,Netgear Inc,Time,Belkin International Inc.,Time,NETGEAR,Time,D-Link International,Time,Sony Mobile Communications AB,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Liteon Technology Corporation,Time,"NETGEAR INC.,",Time,"Apple, Inc",Time,ICP Electronics Inc.,Time,"Apple, Inc.",Time,"Silex Technology, Inc.",Time,Routerboard.com,Time,Dell Inc,Time,ASRock Incorporation,Time,Liteon Tech Corp.,Time,"Samsung Electro Mechanics co., LTD."
185,7,185,0,185,0,185,1,185,3,185,5,185,2,185,0,185,2,185,0,189,1,189,0,189,1,189,0,194,0,194,0,194,0,194,1,194,0,198,0,198,0,203,1,222,0,231,1,231,0,231,1,237,0,250,1,265,0,317,0,,,,,,,,
189,7,189,0,189,1,189,1,189,2,189,5,189,1,189,0,189,2,189,1,194,0,194,0,194,0,194,0,198,0,198,0,198,0,198,1,198,0,203,0,203,0,208,1,227,0,237,1,237,0,237,1,241,0,255,0,270,0,321,0,,,,,,,,
194,7,194,0,194,1,194,1,194,1,194,6,194,2,194,0,194,2,194,1,198,0,198,0,198,0,198,0,203,0,203,0,203,0,203,1,203,0,208,0,208,0,213,1,231,0,241,1,241,0,241,1,246,0,260,0,274,0,,,,,,,,,,
198,7,198,0,198,1,198,1,198,1,198,6,198,2,198,1,198,2,198,1,203,1,203,0,203,0,203,1,208,0,208,0,208,0,208,1,208,0,213,0,213,0,218,1,237,0,246,1,246,0,246,1,250,0,265,0,279,0,,,,,,,,,,
203,7,203,0,203,1,203,1,203,1,203,5,203,2,203,0,203,2,203,1,208,1,208,0,208,0,208,1,213,0,213,0,213,0,213,1,213,0,218,0,218,0,222,1,241,0,250,1,250,0,250,1,255,0,270,0,283,0,,,,,,,,,,
208,7,208,0,208,1,208,1,208,1,208,5,208,2,208,1,208,2,208,1,213,1,213,0,213,0,213,1,218,0,218,0,218,0,218,1,218,0,222,0,222,1,227,1,246,0,255,1,255,1,255,1,260,0,274,0,288,0,,,,,,,,,,
213,7,213,0,213,1,213,0,213,1,213,4,213,1,213,0,213,2,213,1,218,1,218,0,218,1,218,1,222,0,222,0,222,0,222,1,222,0,227,0,227,1,231,1,250,0,260,0,260,1,260,1,265,0,279,0,293,0,,,,,,,,,,
218,7,218,0,218,0,218,1,218,1,218,4,218,2,218,1,218,2,218,1,222,1,222,0,222,1,222,1,227,0,227,0,227,0,227,1,227,0,231,0,231,1,237,0,255,0,265,0,265,1,265,1,270,0,283,0,298,0,,,,,,,,,,
222,7,222,0,222,0,222,1,222,1,222,3,222,2,222,0,222,2,222,1,227,1,227,0,227,1,227,1,231,0,231,0,231,0,231,1,231,0,237,0,237,1,241,0,260,0,270,0,270,1,270,1,274,0,288,0,302,0,,,,,,,,,,
227,7,227,0,227,0,227,1,227,1,227,3,227,1,227,0,227,2,227,1,231,1,231,0,231,1,231,1,237,0,237,0,237,0,237,1,237,0,241,0,241,1,246,0,265,0,274,0,274,1,274,1,279,0,293,0,308,0,,,,,,,,,,
231,7,231,0,231,0,231,1,231,1,231,4,231,1,231,0,231,2,231,1,237,1,237,0,237,1,237,0,241,0,241,0,241,0,241,1,241,0,246,0,246,1,250,0,270,0,279,0,279,1,279,1,283,0,298,0,312,0,,,,,,,,,,
237,7,237,0,237,1,237,1,237,1,237,4,237,1,237,1,237,2,237,1,241,0,241,0,241,1,241,0,246,0,246,0,246,0,246,1,246,0,250,0,250,0,255,0,274,0,283,0,283,1,283,1,288,0,302,0,317,0,,,,,,,,,,
241,10,241,0,241,1,241,1,241,1,241,4,241,1,241,1,241,2,241,1,246,0,246,0,246,1,246,0,250,0,250,0,250,0,250,1,250,0,255,0,255,0,260,0,279,0,288,0,288,0,288,1,293,0,308,0,321,0,,,,,,,,,,
246,10,246,0,246,1,246,1,246,1,246,4,246,1,246,1,246,2,246,1,250,0,250,0,250,0,250,0,255,0,255,1,255,1,255,1,255,0,260,0,260,0,265,0,283,0,293,0,293,0,293,1,298,0,312,0,,,,,,,,,,,,
250,10,250,0,250,1,250,0,250,2,250,4,250,1,250,1,250,2,250,1,255,1,255,0,255,0,255,0,260,0,260,1,260,1,260,1,260,0,265,0,265,0,270,0,288,0,298,0,298,0,298,1,302,0,317,0,,,,,,,,,,,,
255,10,255,0,255,1,255,0,255,2,255,6,255,0,255,1,255,2,255,1,260,2,260,0,260,0,260,0,265,0,265,1,265,1,265,1,265,0,270,0,270,0,274,0,293,0,302,0,302,0,302,1,308,1,321,0,,,,,,,,,,,,
260,10,260,0,260,0,260,1,260,2,260,6,260,0,260,1,260,2,260,1,265,3,265,0,265,0,265,1,270,0,270,1,270,1,270,1,270,0,274,0,274,0,279,0,298,0,308,0,308,0,308,1,312,1,,,,,,,,,,,,,,
265,10,265,0,265,0,265,1,265,2,265,6,265,0,265,0,265,2,265,1,270,3,270,0,270,0,270,1,274,0,274,1,274,1,274,1,274,0,279,0,279,0,283,0,302,0,312,0,312,0,312,0,317,1,,,,,,,,,,,,,,
270,10,270,0,270,1,270,1,270,2,270,7,270,0,270,1,270,2,270,1,274,3,274,0,274,0,274,1,279,0,279,1,279,1,279,1,279,0,283,0,283,0,288,0,308,0,317,0,317,1,317,0,321,1,,,,,,,,,,,,,,
274,10,274,0,274,1,274,1,274,2,274,7,274,0,274,1,274,2,274,1,279,3,279,0,279,0,279,2,283,0,283,1,283,1,283,1,283,0,288,0,288,0,293,0,312,0,321,0,321,1,321,0,,,,,,,,,,,,,,,,
279,10,279,0,279,1,279,1,279,2,279,7,279,0,279,1,279,2,279,1,283,3,283,0,283,0,283,2,288,0,288,1,288,0,288,1,288,0,293,0,293,0,298,0,317,0,,,,,,,,,,,,,,,,,,,,,,
283,10,283,0,283,1,283,1,283,1,283,6,283,0,283,0,283,2,283,1,288,1,288,0,288,1,288,3,293,0,293,1,293,0,293,1,293,0,298,0,298,0,302,0,321,0,,,,,,,,,,,,,,,,,,,,,,
288,10,288,0,288,1,288,1,288,2,288,6,288,0,288,2,288,2,288,1,293,1,293,0,293,1,293,3,298,0,298,1,298,0,298,1,298,0,302,0,302,0,308,0,,,,,,,,,,,,,,,,,,,,,,,,
293,10,293,0,293,1,293,1,293,3,293,6,293,0,293,2,293,2,293,1,298,1,298,0,298,1,298,3,302,0,302,1,302,0,302,1,302,0,308,0,308,0,312,0,,,,,,,,,,,,,,,,,,,,,,,,
298,10,298,0,298,1,298,1,298,3,298,6,298,0,298,2,298,2,298,1,302,0,302,0,302,1,302,3,308,0,308,2,308,0,308,1,308,0,312,0,312,0,317,0,,,,,,,,,,,,,,,,,,,,,,,,
302,10,302,0,302,1,302,1,302,3,302,5,302,0,302,2,302,2,302,1,308,0,308,1,308,1,308,4,312,0,312,2,312,0,312,1,312,0,317,0,317,0,321,0,,,,,,,,,,,,,,,,,,,,,,,,
308,10,308,0,308,0,308,1,308,4,308,6,308,0,308,2,308,2,308,1,312,1,312,1,312,1,312,3,317,0,317,2,317,0,317,1,317,0,321,0,321,0,,,,,,,,,,,,,,,,,,,,,,,,,,
312,10,312,0,312,0,312,1,312,4,312,6,312,1,312,2,312,2,312,1,317,1,317,1,317,1,317,3,321,0,321,1,321,0,321,1,321,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,10,317,0,317,0,317,1,317,4,317,8,317,1,317,2,317,1,317,1,321,1,321,2,321,0,321,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,10,321,0,321,1,321,1,321,4,321,8,321,1,321,2,321,1,321,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
